gene,knn_permutation_importance_mean,knn_permutation_importance_std
RHOBTB2,0.0,0.0
RHOF,0.0,0.0
RLN2,0.0,0.0
RNF217,0.0,0.0
RPGRIP1L,0.0,0.0
RPS20,0.0,0.0
RSPRY1,0.0,0.0
RUFY3,0.0,0.0
RUNX1,0.0,0.0
S1PR3,0.0,0.0
SAMD12,0.0,0.0
SAMD13,0.0,0.0
SATB2,0.0,0.0
SCAND1,0.0,0.0
SEC14L1,0.0,0.0
SEL1L3,0.0,0.0
SEMA3B-AS1,0.0,0.0
SEMA4D,0.0,0.0
SEPT4,0.0,0.0
SERTAD1,0.0,0.0
SERTAD3,0.0,0.0
SESN3,0.0,0.0
SESTD1,0.0,0.0
SGK1,0.0,0.0
SGO1,0.0,0.0
SH3BGR,0.0,0.0
SH3BP4,0.0,0.0
SH3BP5,0.0,0.0
SH3RF3,0.0,0.0
SH3RF3-AS1,0.0,0.0
SIK2,0.0,0.0
SKP2,0.0,0.0
SLC12A8,0.0,0.0
SLC25A25,0.0,0.0
SLC25A33,0.0,0.0
SLC25A4,0.0,0.0
SLC2A4,0.0,0.0
SLC31A2,0.0,0.0
SLC35F5,0.0,0.0
SLC38A9,0.0,0.0
SLC3A2,0.0,0.0
SLC41A2,0.0,0.0
SLC45A1,0.0,0.0
SLC45A4,0.0,0.0
SLC6A20,0.0,0.0
SLC7A10,0.0,0.0
SLFN13,0.0,0.0
SLITRK2,0.0,0.0
SMIM4,0.0,0.0
SMTN,0.0,0.0
SNAP91,0.0,0.0
SNCG,0.0,0.0
SOCS2,0.0,0.0
SPATA2,0.0,0.0
SPATA6L,0.0,0.0
SPIN3,0.0,0.0
SPRY4,0.0,0.0
SPSB1,0.0,0.0
SSBP3,0.0,0.0
STARD8,0.0,0.0
STAT1,0.0,0.0
STK32A,0.0,0.0
STK36,0.0,0.0
STK38,0.0,0.0
STK40,0.0,0.0
STX7,0.0,0.0
SYNM,0.0,0.0
SYT16,0.0,0.0
SYT8,0.0,0.0
TAL1,0.0,0.0
TBC1D1,0.0,0.0
TBL1XR1,0.0,0.0
TBXA2R,0.0,0.0
TCEAL2,0.0,0.0
TFAP2E,0.0,0.0
TFAP4,0.0,0.0
TGM7,0.0,0.0
TIMP3,0.0,0.0
TIPARP,0.0,0.0
TLR1,0.0,0.0
TLR7,0.0,0.0
TMEM132C,0.0,0.0
TMEM139,0.0,0.0
TMEM144,0.0,0.0
TMEM159,0.0,0.0
TMEM204,0.0,0.0
TMEM63A,0.0,0.0
TMEM88,0.0,0.0
TNFAIP8,0.0,0.0
TNFRSF11A,0.0,0.0
TNFRSF11B,0.0,0.0
TNFSF10,0.0,0.0
TNIK,0.0,0.0
TNNC1,0.0,0.0
TOB1,0.0,0.0
TOB2,0.0,0.0
TP53,0.0,0.0
TP53INP1,0.0,0.0
TP53INP2,0.0,0.0
TPBG,0.0,0.0
TPST2,0.0,0.0
TRDMT1,0.0,0.0
