gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score
PPP1R16B,0.040885754367483304,0.06345334729983404,-0.022567592932350736,down_in_CKD,-0.7283552728971412,-2.1256748578741504,0.04160835660635501,0.211764635991291,4.340466029103293,0.04555386119471506,0.011081098962784402
PPP1R17,0.0008676870429584268,0.00033551190712376665,0.0005321751358346601,up_in_CKD,0.3359055770861098,0.9421391740730084,0.35452094608082974,0.5212653335519404,0.9231754640527022,0.3440774451709185,5.057872982147026e-05
PPP1R18,0.0839019678190668,0.047251170931406135,0.03665079688766066,up_in_CKD,1.1154568472825774,3.0159463844619134,0.006889376454331167,0.08147607457812767,10.180178003042078,0.003242737629148778,0.044519683937169235
PPP1R1A,0.34190735419607665,0.4203425989667938,-0.07843524477071717,down_in_CKD,-0.3707870167530295,-1.0928287972028232,0.28305040958494954,0.496397227018468,1.1248610055759112,0.2970678259267459,0.008846125275389471
PPP1R1B,0.043108976834967554,0.01992653235654935,0.023182444478418204,up_in_CKD,1.071131888108273,2.9448471864179617,0.007284692653578426,0.08412776030267125,9.387192450455945,0.004495391013833663,0.02669532128758653
PPP1R1C,0.008954989478048353,0.009240703049309922,-0.00028571357126156924,down_in_CKD,-0.07230857236611882,-0.2141934384636951,0.8318526160452857,0.895891081996726,0.04277887885330563,0.8374947572806941,9.863853477074005e-07
PPP1R2,0.2417256188428525,0.2327141410330091,0.009011477809843405,up_in_CKD,0.26269831017978446,0.7303177411952154,0.4719461463785552,0.62735215286134,0.5646305632198437,0.45806749467190666,0.0004793512786554498
PPP1R21,0.10445517324102008,0.10515832978326556,-0.0007031565422454811,down_in_CKD,-0.025530675366833233,-0.07655386634834312,0.9395258446147308,0.9644434246019074,0.005333034965617844,0.9422532954203195,2.8226463297483053e-07
PPP1R26,0.04328174894670681,0.04685376921534282,-0.0035720202686360114,down_in_CKD,-0.3898193661275904,-1.120107871964928,0.2714385952616588,0.48419317767575004,1.2433020398845882,0.27340546375602853,0.0004385934520301558
PPP1R26-AS1,0.012384273670493379,0.01518952591809098,-0.0028052522475976015,down_in_CKD,-0.47913886825519597,-1.3871451209111199,0.17532491528502459,0.3990950461560892,1.8783331778689367,0.18036688464250455,0.0005361954444013562
PPP1R27,0.00020126752592704,0.0004120192550521833,-0.00021075172912514333,down_in_CKD,-0.2958733551292371,-0.9043002309537989,0.3750056469627784,0.5412660352645426,0.7162448913444409,0.40386432137186384,1.6623390001036626e-05
PPP1R32,0.011512255924894814,0.020978671118640612,-0.009466415193745798,down_in_CKD,-1.2289089857841473,-3.5280934032785147,0.0013567286514519232,0.03419297868810705,12.35632332551745,0.0013759555915375018,0.017055243361712633
