gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
TNFAIP8,0.3704949040702758,0.007770836368359,0.0879591983003366,1.9967091600212556,0.1174255457430133,0.0624480369515011,33,0.2850484953902861,0.7999999999999999,0.9166666666666666,69,0.0030041357664561,78,0.1541721328801411,0.4059475704436528,0.2556945927853035,0.2719380987030325,60.0
AP1G2,0.1440821721749283,0.0176857943826981,0.0491609766873715,1.6724863803495609,0.0994762396299269,0.0750577367205542,140,0.35421946770813,0.9083333333333332,0.8722222222222221,23,0.0018947368421052,129,0.03952080408878364,0.6011504521413696,0.16126899812152037,0.2673134181172246,97.33333333333333
GALNT7,0.3201728024794854,0.0014247982663157,0.0468866837951139,2.399177568167874,0.0840310433153649,0.0599076212471131,40,0.3435424328993529,0.9083333333333332,0.9055555555555556,29,0.001,216,0.1286899271461253,0.5710194897908163,0.08511419345302748,0.2616078701299897,95.0
SEMA4D,0.168895440900261,0.0298488498859803,0.0687541090952935,1.6107524724777385,0.130729823756547,0.1011547344110854,111,0.3292632054977697,0.875,0.9333333333333332,32,0.0019999999999999,117,0.05208579638052183,0.5307230150730974,0.17022838690604644,0.2510123994532219,86.66666666666667
TPBG,0.149902558806479,0.0146278083303614,0.044643240848409,1.830036245976928,0.0603280192682647,0.0277598152424942,132,0.3290582064499483,0.875,0.875,33,0.002,106,0.042468143029489445,0.5301445006538386,0.17022838690605496,0.24761367686312763,90.33333333333333
DSC2,0.1794271205053609,0.0087856141284638,0.0484058710330361,1.8026806862469007,0.0871659593990136,0.0588914549653579,100,0.3041602130097988,0.8416666666666666,0.8972222222222224,47,0.0021079646017699,98,0.057418849212937884,0.45988150007499207,0.17941770690717732,0.23223935206503576,81.66666666666667
STX7,0.2570926686145883,0.0049347860399875,0.0656557175450563,1.6975401754704016,0.2321558282677677,0.2393071593533487,54,0.2900763825604915,0.825,0.8777777777777779,60,0.001999561900045,126,0.09674728369403342,0.4201364423300451,0.17019109838173332,0.22902494146860394,80.0
MMP7,0.6948201741600796,0.0271779101955901,0.2805094363608366,1.5819513000485943,0.2163092097717628,0.0895150115473441,10,0.2602206316351858,0.8166666666666667,0.8555555555555555,93,0.0,458,0.31840460719876396,0.33588247826706585,0.0,0.2180956951552766,187.0
STAT1,0.3917683602994511,0.0105413868133325,0.1084203940129381,1.827634078114999,0.1944986045800359,0.1431408775981524,29,0.2842916211665218,0.8333333333333333,0.9277777777777778,70,0.001,205,0.1649446278906562,0.4038116451470902,0.08511419345302748,0.21795682216359133,101.33333333333333
MACC1,0.3561770192357167,0.0242831424750955,0.1343265982152632,1.6421519788712184,0.1776006422754903,0.108729792147806,34,0.2906501704718586,0.8416666666666666,0.9222222222222222,59,0.001,194,0.14692181392492176,0.4217556917063225,0.08511419345302748,0.21793056636142394,95.66666666666667
