gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SLITRK2,0.819047619047619,0.8083333333333333,0.85,0.30833333333333335
PLAT,0.8142857142857143,0.8083333333333332,0.8555555555555555,0.30833333333333324
PIK3CG,0.8190476190476191,0.8083333333333332,0.8666666666666668,0.30833333333333324
GADD45B,0.8238095238095238,0.8083333333333332,0.95,0.30833333333333324
RHOB,0.8238095238095238,0.8083333333333332,0.875,0.30833333333333324
CLDN1,0.8095238095238095,0.8083333333333332,0.9666666666666666,0.30833333333333324
RHOBTB2,0.819047619047619,0.8083333333333332,0.9027777777777779,0.30833333333333324
SPN,0.819047619047619,0.8083333333333332,0.8277777777777778,0.30833333333333324
C11orf96,0.8142857142857143,0.8083333333333332,0.9388888888888889,0.30833333333333324
TMEM63A,0.7952380952380953,0.8083333333333332,0.95,0.30833333333333324
MBTD1,0.7904761904761904,0.8,0.836111111111111,0.30000000000000004
ATF3,0.8,0.8,0.8833333333333332,0.30000000000000004
EIF1,0.7952380952380953,0.8,0.8583333333333332,0.30000000000000004
UNC79,0.7952380952380953,0.8,0.8916666666666666,0.30000000000000004
PRICKLE2,0.8,0.8,0.8583333333333332,0.30000000000000004
IER3,0.7952380952380953,0.8,0.8916666666666668,0.30000000000000004
MED9,0.7904761904761904,0.7999999999999999,0.9166666666666667,0.29999999999999993
STK40,0.7857142857142858,0.7999999999999999,0.888888888888889,0.29999999999999993
FAS,0.7857142857142857,0.7999999999999999,0.9,0.29999999999999993
C9orf24,0.7857142857142858,0.7999999999999999,0.8333333333333334,0.29999999999999993
TNFAIP8,0.7904761904761904,0.7999999999999999,0.9166666666666666,0.29999999999999993
ITGA8,0.8095238095238095,0.7999999999999999,0.9166666666666667,0.29999999999999993
TTC30B,0.7904761904761906,0.7999999999999998,0.8111111111111111,0.2999999999999998
UAP1,0.7904761904761906,0.7999999999999998,0.9166666666666667,0.2999999999999998
GEM,0.7904761904761906,0.7999999999999998,0.8972222222222221,0.2999999999999998
IDI1,0.7904761904761906,0.7999999999999998,0.9777777777777779,0.2999999999999998
UNC5CL,0.7857142857142857,0.7916666666666667,0.8444444444444444,0.29166666666666674
FILIP1,0.7904761904761906,0.7916666666666666,0.8861111111111111,0.29166666666666663
CLN8,0.7952380952380953,0.7916666666666666,0.9111111111111111,0.29166666666666663
CCDC51,0.7857142857142858,0.7916666666666666,0.861111111111111,0.29166666666666663
MAP1LC3A,0.7952380952380953,0.7916666666666666,0.8777777777777779,0.29166666666666663
TLR6,0.7952380952380953,0.7916666666666666,0.7166666666666666,0.29166666666666663
C17orf107,0.7904761904761904,0.7916666666666666,0.8333333333333334,0.29166666666666663
JPH2,0.7857142857142857,0.7916666666666666,0.9166666666666666,0.29166666666666663
JOSD1,0.7904761904761904,0.7916666666666666,0.8777777777777779,0.29166666666666663
TIMP3,0.7904761904761904,0.7916666666666666,0.9,0.29166666666666663
CASP9,0.7904761904761906,0.7916666666666666,0.8972222222222221,0.29166666666666663
HEY1,0.7904761904761906,0.7916666666666666,0.8055555555555556,0.29166666666666663
CHSY1,0.780952380952381,0.7916666666666666,0.8333333333333334,0.29166666666666663
ZFP64,0.7904761904761904,0.7916666666666666,0.8527777777777779,0.29166666666666663
RCBTB2,0.7952380952380953,0.7916666666666666,0.8277777777777777,0.29166666666666663
RBBP8NL,0.7904761904761906,0.7916666666666666,0.9,0.29166666666666663
RGS3,0.7952380952380953,0.7916666666666666,1.0,0.29166666666666663
ECSIT,0.7904761904761906,0.7916666666666666,0.913888888888889,0.29166666666666663
CX3CR1,0.7952380952380953,0.7916666666666666,0.8666666666666666,0.29166666666666663
GRPEL1,0.7952380952380953,0.7916666666666666,0.8083333333333332,0.29166666666666663
RNF217,0.7904761904761906,0.7916666666666666,0.825,0.29166666666666663
PAPPA2,0.7857142857142857,0.7916666666666666,0.7166666666666666,0.29166666666666663
MVD,0.7952380952380953,0.7916666666666666,0.875,0.29166666666666663
RAB3D,0.7904761904761904,0.7916666666666666,0.8694444444444445,0.29166666666666663
MIDN,0.8,0.7916666666666666,0.85,0.29166666666666663
ZBTB10,0.7857142857142857,0.7916666666666665,0.8083333333333333,0.2916666666666665
SYNM,0.7857142857142857,0.7916666666666665,0.8777777777777779,0.2916666666666665
PPP1R15B,0.7857142857142857,0.7916666666666665,0.8944444444444443,0.2916666666666665
FLVCR2,0.7857142857142857,0.7916666666666665,0.7611111111111112,0.2916666666666665
PGP,0.7857142857142858,0.7833333333333333,0.8222222222222222,0.2833333333333333
FXYD6,0.7904761904761904,0.7833333333333333,0.7694444444444445,0.2833333333333333
PTP4A1,0.7761904761904762,0.7833333333333333,0.861111111111111,0.2833333333333333
SKP2,0.7857142857142858,0.7833333333333333,0.8722222222222221,0.2833333333333333
SH3BP4,0.7619047619047619,0.7833333333333333,0.925,0.2833333333333333
FAM53B,0.7857142857142858,0.7833333333333333,0.8083333333333332,0.2833333333333333
KIF5A,0.7857142857142857,0.7833333333333333,0.8944444444444445,0.2833333333333333
DUSP26,0.7761904761904762,0.7833333333333333,0.9555555555555555,0.2833333333333333
