gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
SLC41A2,0.03506129200669878,0.01777633453282568,0.0172849574738731,up_in_CKD,1.7615220274702454,4.747243827347915,0.00013680201868946523,0.00950482905316584,25.387853344878142,1.9226431054665515e-05,0.061567214630091266,4.91670196619712e-19,0.0,0.0,0.8761904761904763,0.8666666666666666,0.861111111111111,0.3666666666666666,1.6954144711024553e-17,0.0,0.7333333333333332,0.0028568925627030653,0.2939047118458739
MAPK15,0.02959943924895555,0.011299904085385967,0.01829953516356958,up_in_CKD,1.738606929157266,4.591528036911038,0.0003037373926504525,0.014918999654037878,24.731624079111754,2.3199425524538043e-05,0.05810374721174178,1.1787223618816759e-18,0.0,0.0,0.8761904761904763,0.8666666666666666,0.8916666666666666,0.3666666666666666,4.064559868557503e-17,0.0,0.7333333333333332,0.002696177897144508,0.2938725689127622
MACC1,0.23821964542516774,0.1038930472099045,0.13432659821526324,up_in_CKD,1.6421519788712178,4.344704279864136,0.0004880718120769262,0.01899821907234383,22.063607359450835,5.1067383498996635e-05,0.37968958167892686,0.0010000000000000007,0.0,0.0,0.8428571428571429,0.8416666666666666,0.9222222222222222,0.34166666666666656,0.03448275862068968,0.0,0.6833333333333331,0.017618668451247366,0.29065017047185865
STX7,0.3061649641663406,0.24050924662128428,0.06565571754505631,up_in_CKD,1.6975401754703996,4.876373205947645,3.207344756302669e-05,0.00386079134358259,23.577076205476978,3.247432254741647e-05,0.2689726896865472,0.001999561900045015,0.0,0.0,0.8238095238095238,0.825,0.8777777777777779,0.32499999999999996,0.06895041034637983,0.0,0.6499999999999999,0.012481092109698338,0.2900763825604915
TNFRSF11B,0.27012503428312334,0.09822480715142573,0.1719002271316976,up_in_CKD,2.1441420389914208,5.645172909398381,4.111012994861784e-05,0.0044640360409861565,37.61464159121144,8.40733000496931e-07,0.866259850010111,0.002016522402334055,0.0,0.0,0.8095238095238095,0.8166666666666667,0.9,0.31666666666666665,0.06953525525289846,0.0,0.6333333333333333,0.040196902486678086,0.2891868159318283
FZD1,0.12303748126610324,0.06692372506240869,0.05611375620369455,up_in_CKD,1.6658897699871933,4.456721638993471,0.0003072033410333108,0.014978099030884616,22.706089574301686,4.206795144853786e-05,0.1705570898627061,9.35759406469774e-19,0.0,0.0,0.8523809523809524,0.8583333333333332,0.8777777777777779,0.35833333333333317,3.2267565740337035e-17,0.0,0.7166666666666663,0.007914330451241352,0.28824953275691484
TMEM139,0.16365775667715082,0.0808820945709051,0.08277566210624572,up_in_CKD,1.6183415359580002,4.29616451635915,0.0005067881005135833,0.019446987825263298,21.428421766420087,6.201195610163646e-05,0.22922412899323236,0.0018936915887850486,0.0,0.0,0.8238095238095238,0.825,0.9,0.32499999999999996,0.06529970995810513,0.0,0.6499999999999999,0.01063664668358707,0.2882472133199594
EPHA7,0.05480768880675643,0.02057811634048957,0.03422957246626686,up_in_CKD,1.8140281756903145,4.973088031574286,5.370926915604441e-05,0.005281714909209655,26.92389454525907,1.249831027343876e-05,0.14140066582821526,6.004533938224797e-19,0.0,0.0,0.8523809523809524,0.8583333333333332,0.9,0.35833333333333317,2.0705289442154474e-17,0.0,0.7166666666666663,0.006561390067635919,0.28797894468019375
DNMT3B,0.011345741095647038,0.00545277469506344,0.005892966400583599,up_in_CKD,2.3743602829654358,6.564986505001757,8.528779966595489e-07,0.0005049385853692554,46.12570979992122,1.3196112920440918e-07,0.04612836972267681,0.0009999999999999992,0.0,0.0,0.8428571428571429,0.8416666666666666,0.8388888888888889,0.34166666666666656,0.03448275862068963,0.0,0.6833333333333331,0.002140486575235169,0.28755453409665616
SLC12A8,0.021831340274540804,0.010704836021272444,0.01112650425326836,up_in_CKD,1.5687070245683783,4.177034087142722,0.000619509789967754,0.022051507984005576,20.134159600337792,9.285734589932429e-05,0.02891400137609156,0.001,0.0,0.0,0.8476190476190476,0.8416666666666666,0.8833333333333334,0.34166666666666656,0.03448275862068966,0.0,0.6833333333333331,0.0013416912878980395,0.28739477503918875
