gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
SPRY4,0.02526062654972625,0.06279310726288129,-0.03753248071315504,down_in_CKD,-1.763115151879864,-5.2696790817347665,1.2662848261102209e-05,0.0022129471569552715,25.433795771904727,1.8976911536072212e-05,0.17569411299336646,0.00010722891566265248,0.0,0.0,0.7571428571428571,0.7583333333333333,0.8444444444444444,0.2583333333333333,0.003697548815953534,0.0,0.5166666666666666,0.008152702826288579,0.2097762267583058
TUBB2A,0.11165024798905619,0.20780578572641684,-0.09615553773736064,down_in_CKD,-1.62124702833555,-4.911875100729247,4.402496776744604e-05,0.004695457040197094,21.50543394725606,6.056080708684228e-05,0.3629665134350129,0.0018945835760046587,0.0,0.0,0.7285714285714285,0.7249999999999999,0.95,0.22499999999999987,0.06533046813809168,0.0,0.44999999999999973,0.01684267087561134,0.20950072143035883
SERTAD3,0.11586555915545281,0.1888315848134349,-0.07296602565798209,down_in_CKD,-1.5672577798322227,-4.780006444102187,7.239744258473162e-05,0.0064227822916913275,20.096975032728775,9.395621020957233e-05,0.250701258205805,0.0010000000000000028,0.0,0.0,0.738095238095238,0.7416666666666666,0.8166666666666667,0.24166666666666659,0.03448275862068976,0.0,0.48333333333333317,0.011633246108853626,0.20945308600337992
EHD3,0.02879989902780664,0.09087720614090328,-0.06207730711309664,down_in_CKD,-1.5728400762641799,-4.792010879481662,6.846372535642462e-05,0.006168113890030678,20.2403937722949,8.979289183335601e-05,0.21576438653696234,0.0,0.0,0.0,0.7619047619047619,0.7583333333333333,0.8666666666666666,0.2583333333333333,0.0,0.0,0.5166666666666666,0.010012076636846277,0.20866908199403592
MYOM1,0.008423568360027688,0.020500708671543313,-0.012077140311515626,down_in_CKD,-1.7204918984410829,-5.178713348521315,1.8722782845146693e-05,0.002799731599678895,24.218937594011457,2.6911131778926022e-05,0.053045403512789746,1.5907325314529055e-18,0.0,0.0,0.7571428571428571,0.7583333333333332,0.7972222222222223,0.2583333333333332,5.485284591216916e-17,0.0,0.5166666666666664,0.002461456469840098,0.2071589579606346
PXN,0.15491170523197678,0.23689209457114224,-0.08198038933916546,down_in_CKD,-1.9656180935988274,-5.68349597895059,3.082409487936891e-06,0.0010409597968363596,31.61171855358891,3.6057380288496384e-06,0.4806170647612219,0.0019999999999999996,0.0,0.0,0.7238095238095237,0.7166666666666666,0.8444444444444444,0.21666666666666656,0.0689655172413793,0.0,0.4333333333333331,0.022301988583927547,0.20537993794667048
SMIM4,0.32732096187963544,0.4646064471902725,-0.13728548531063706,down_in_CKD,-1.6446541895227338,-4.879566000212304,3.367033528258585e-05,0.003922796893766327,22.130896934574665,5.003502519417345e-05,0.5433351375078083,7.989640695070321e-19,0.0,0.0,0.7571428571428571,0.75,0.7333333333333333,0.25,2.7550485155414902e-17,0.0,0.5,0.02521228421210134,0.20504245684242028
TMEM88,0.0732433188315911,0.1797090772523305,-0.10646575842073941,down_in_CKD,-1.5913548800977226,-4.713778877855381,5.275938667444171e-05,0.005217669757833917,20.719721081543213,7.724892809540042e-05,0.38671608225066206,4.183787819113745e-19,0.0,0.0,0.7523809523809524,0.7499999999999999,0.775,0.2499999999999999,1.4426854548668086e-17,0.0,0.4999999999999998,0.017944717913543618,0.20358894358270865
CTIF,0.046455227967822484,0.06781423657762846,-0.021359008609805975,down_in_CKD,-1.6309790849764838,-4.653863400276967,6.338160972725844e-05,0.0059312919296379595,21.764395436978685,5.594116480729574e-05,0.07757478547517069,0.00012917271407837582,0.0,0.0,0.7523809523809524,0.75,0.8833333333333334,0.25,0.0044542315199439944,0.0,0.5,0.0035996890391884273,0.2025016304158153
AGRP,0.0060754263340804466,0.014774692128003827,-0.00869926579392338,down_in_CKD,-1.667890166247497,-4.869561549743057,3.128516070934875e-05,0.0038102118759107567,22.76065314544175,4.1385822186788776e-05,0.035099024816060136,0.000999408633944412,0.0,0.0,0.7190476190476189,0.7333333333333333,0.8166666666666667,0.23333333333333328,0.03446236668773835,0.0,0.46666666666666656,0.0016286938357955708,0.2007773521089211
