cell_class,gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
endothelial cells,SLC12A2,0.3192492826412901,0.022116640431498635,0.10794443256204327,1.7867261496877558,0.12192622950819672,0.08791208791208792,24,0.28131184988331864,0.85,0.8722222222222221,28,0.00021361205432937126,177,0.05743824394538317,0.5297300165814453,0.024606865524685613,0.20392504201717135,76.33333333333333
endothelial cells,GNG12,0.19731254501907738,0.04023670313871751,0.08599739341580925,1.6442871390521105,0.12756147540983606,0.11172161172161173,36,0.24309724966993249,0.7916666666666666,0.9,41,0.0010000000000000002,137,0.030031002421957394,0.44037488838254496,0.1151941804124217,0.1952000237389747,71.33333333333333
endothelial cells,EPS8L2,0.13518323653811923,0.006601889385331328,0.03002547291970774,2.064954102938857,0.03381147540983607,0.008424908424908424,46,0.2690408056977793,0.8333333333333333,0.95,34,0.0003558792756371765,170,0.016066441811055387,0.5010372991328624,0.040995221482790854,0.1860329874755696,83.33333333333333
endothelial cells,EFNB2,0.537242341869997,0.034005625274138813,0.23454118505589783,1.5598835600663574,0.40753073770491804,0.3344322344322344,14,0.23989321678066627,0.7999999999999999,0.8305555555555555,43,0.00010989010989010917,185,0.1064356875478374,0.43288307195701065,0.012658701144222078,0.1839924868830234,80.66666666666667
endothelial cells,TET2,0.118886947147772,0.03215293847727268,0.05279350257487478,1.5085443614855556,0.08247950819672131,0.063003663003663,49,0.206123324643266,0.7416666666666666,0.8055555555555556,56,0.0013209153318077798,111,0.012403588859874535,0.35392076372008097,0.1521617590417992,0.17282870387391824,72.0
endothelial cells,NAA40,0.0989250696077361,0.010651247699405429,0.027365625820094105,1.8325762675244943,0.031762295081967214,0.01575091575091575,55,0.26622582485941493,0.8333333333333333,0.9,36,0.00013073170731707278,183,0.007916836059452318,0.4944551820287985,0.01505953187830679,0.17247718332218587,91.33333333333333
endothelial cells,CTNNB1,0.8302416442938007,0.024215724923432193,0.3204598756200334,1.6033033278877347,0.5735143442622951,0.512087912087912,8,0.17305543240595675,0.7166666666666666,0.8055555555555556,73,0.00013171285042942708,182,0.17229198979371285,0.27659990379657046,0.015172553855001734,0.15468814914842835,87.66666666666667
endothelial cells,MYO1B,0.19587144790574623,0.009575501934071851,0.05539845588655933,1.751345802946356,0.07223360655737705,0.041025641025641026,37,0.23224353611250587,0.7916666666666666,0.8833333333333334,48,0.00010485036119711126,197,0.029707092684711948,0.41499623831313315,0.012078151424047612,0.1522604941406309,94.0
endothelial cells,ETAA1,0.11856487083178595,0.0377299100549759,0.0500383768276488,1.6647615157190891,0.048668032786885244,0.031868131868131866,50,0.23884448213712436,0.7999999999999999,0.8666666666666666,44,0.00010521955260977564,196,0.012331197031510603,0.4304308725882602,0.012120680126244789,0.15162758324867184,96.66666666666667
endothelial cells,SP1,0.17816496698163717,0.04661693086586977,0.08515921871555476,1.5713166737510424,0.16137295081967212,0.13516483516483516,40,0.18881458834987438,0.725,0.6888888888888889,66,0.0009999999999999994,148,0.02572727652200213,0.3134486838914086,0.1151941804124216,0.1514567136086108,84.66666666666667
endothelial cells,TRDMT1,0.06370251134500855,0.041789507060757326,0.03042323382978507,1.5184765576360977,0.03739754098360656,0.020879120879120878,59,0.23743908866898183,0.8,0.7527777777777778,45,0.0,259,0.0,0.4271447172231759,0.0,0.14238157240772528,121.0
endothelial cells,CAMK2N1,0.16532791476945274,0.025572665942831734,0.05696867576504987,1.8226609933404998,0.06582991803278689,0.02783882783882784,42,0.21355764913801054,0.7666666666666666,0.9,54,0.0002472019464720188,174,0.022841942722780704,0.3713040416973664,0.028476225620199542,0.1408740700134489,90.0
endothelial cells,IMPA2,0.0792258274642926,0.04386975050530613,0.03729160630576964,1.5646195295161085,0.048668032786885244,0.024175824175824177,57,0.19807329601209836,0.75,0.8666666666666666,62,0.00010521955260977692,193,0.0034891147854377532,0.3350978181357691,0.012120680126244936,0.11690253768248393,104.0
endothelial cells,KCTD2,0.10056305677270108,0.029218640616645065,0.04092694119390046,1.601428573722002,0.05584016393442623,0.04322344322344322,54,0.1968484694016435,0.7499999999999999,0.7333333333333334,63,1.5295289754036468e-18,198,0.008285000000179963,0.33223387246611685,1.7619283673867415e-16,0.113506290822099,105.0
endothelial cells,CXXC5,0.2171189067036213,0.04726815320792352,0.09591523681005684,1.7078620818462809,0.1011782786885246,0.05787545787545788,33,0.17678568368860223,0.7249999999999999,0.7694444444444445,71,0.0,272,0.0344828005344381,0.2853221481668816,0.0,0.10660164956710656,125.33333333333333
endothelial cells,RC3H1,0.21495826032472623,0.023499119427989323,0.0821722170601975,1.6059122223542321,0.14882172131147542,0.12197802197802197,34,0.16322124166477517,0.7083333333333333,0.7722222222222223,78,1.110223024625157e-19,249,0.033997160535305423,0.253605148663612,1.2789123139669481e-17,0.09586743639963914,120.33333333333333
endothelial cells,PRTG,0.1222634353230848,0.029968809329191694,0.05172027992164448,1.5518208646240708,0.04815573770491803,0.02600732600732601,48,0.16978124777886833,0.7166666666666666,0.9027777777777779,74,4.454598555594761e-19,237,0.013162508843518016,0.26894405536516724,5.1314382967809593e-17,0.0940355214028951,119.66666666666667
endothelial cells,OGT,0.3435504088147048,0.023492805280672022,0.13400582395068236,1.5737232132838992,0.19339139344262296,0.16373626373626374,22,0.12239371240017918,0.65,0.7499999999999999,90,0.0005218437363192019,168,0.06290031261569251,0.1581403501020293,0.06011336150864635,0.09371800807545605,93.33333333333333
