gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SH3RF3-AS1,0.9047619047619048,0.9166666666666666,0.975,0.41666666666666663
SIK2,0.9095238095238095,0.9166666666666666,0.975,0.41666666666666663
ADCY1,0.9095238095238095,0.9083333333333332,0.95,0.4083333333333332
HS3ST3B1,0.9047619047619048,0.9083333333333332,0.9444444444444444,0.4083333333333332
BAIAP2,0.9095238095238095,0.9083333333333332,0.9111111111111111,0.4083333333333332
CA4,0.9142857142857143,0.9083333333333332,0.9333333333333332,0.4083333333333332
PNMT,0.9047619047619048,0.9083333333333332,0.9333333333333333,0.4083333333333332
RND3,0.9095238095238095,0.9083333333333332,0.975,0.4083333333333332
SMTN,0.9047619047619048,0.9083333333333332,1.0,0.4083333333333332
DYRK2,0.9047619047619048,0.9,0.875,0.4
NOSTRIN,0.9095238095238095,0.9,0.9666666666666666,0.4
STARD13,0.8809523809523808,0.8916666666666666,0.861111111111111,0.3916666666666666
PHC2,0.8809523809523808,0.8916666666666666,0.95,0.3916666666666666
RNF115,0.9095238095238095,0.8916666666666666,0.8916666666666666,0.3916666666666666
CISD1,0.8761904761904763,0.8916666666666666,0.9666666666666666,0.3916666666666666
NUCB2,0.9047619047619048,0.8833333333333332,0.9416666666666667,0.3833333333333332
KLF6,0.8809523809523808,0.8833333333333332,0.9333333333333332,0.3833333333333332
SOX4,0.8761904761904763,0.8833333333333332,0.9416666666666667,0.3833333333333332
AKAP12,0.8761904761904763,0.8833333333333332,0.9416666666666668,0.3833333333333332
ELMSAN1,0.8714285714285716,0.8833333333333332,0.9458333333333332,0.3833333333333332
FAM107A,0.8761904761904761,0.8833333333333332,0.9583333333333333,0.3833333333333332
KLHL5,0.8666666666666666,0.8833333333333332,0.9416666666666667,0.3833333333333332
LGALSL,0.8761904761904763,0.8833333333333332,0.9361111111111111,0.3833333333333332
LRP6,0.8809523809523808,0.875,0.85,0.375
CD36,0.880952380952381,0.875,0.8694444444444445,0.375
TPT1,0.8809523809523808,0.875,0.8638888888888889,0.375
MAP3K6,0.8714285714285716,0.875,0.9,0.375
SPRY4,0.8714285714285716,0.8666666666666666,0.9583333333333333,0.3666666666666666
NUDT16,0.8761904761904763,0.8666666666666666,0.961111111111111,0.3666666666666666
MAL2,0.8476190476190476,0.8666666666666666,0.9333333333333332,0.3666666666666666
TACC1,0.8714285714285716,0.8666666666666666,0.95,0.3666666666666666
ANKS1A,0.8761904761904763,0.8666666666666666,0.975,0.3666666666666666
MAP1LC3A,0.8714285714285716,0.8666666666666666,0.9111111111111111,0.3666666666666666
JUN,0.8809523809523808,0.8666666666666666,0.95,0.3666666666666666
CA2,0.8428571428571429,0.8583333333333334,0.9277777777777778,0.3583333333333334
TMEM204,0.8476190476190476,0.8583333333333332,0.9277777777777778,0.35833333333333317
NFKBIA,0.8714285714285713,0.8583333333333332,0.9,0.35833333333333317
SFT2D2,0.8714285714285716,0.8583333333333332,0.8708333333333332,0.35833333333333317
CLEC4E,0.8476190476190476,0.8583333333333332,0.8583333333333334,0.35833333333333317
RARB,0.8380952380952381,0.8583333333333332,0.975,0.35833333333333317
IL4R,0.8523809523809526,0.8583333333333332,0.9833333333333332,0.35833333333333317
HLA-E,0.8428571428571429,0.8583333333333332,1.0,0.35833333333333317
B2M,0.8476190476190476,0.8583333333333332,0.825,0.35833333333333317
ADIPOR2,0.8523809523809524,0.8583333333333332,0.8958333333333333,0.35833333333333317
UBC,0.8523809523809524,0.85,0.9333333333333332,0.35
FAM171A1,0.8476190476190476,0.85,0.875,0.35
KAT2A,0.8523809523809524,0.85,0.9166666666666666,0.35
FZD4,0.8476190476190475,0.85,0.9416666666666667,0.35
EML1,0.8476190476190476,0.85,0.8583333333333334,0.35
LRRC8A,0.8476190476190476,0.85,0.9333333333333332,0.35
LTB,0.8761904761904763,0.85,0.8833333333333332,0.35
MARCKS,0.8428571428571429,0.85,0.8333333333333334,0.35
SLC12A2,0.8380952380952381,0.85,0.8722222222222221,0.35
CD274,0.8428571428571429,0.85,0.8666666666666666,0.35
RAP2B,0.8523809523809524,0.85,0.95,0.35
NCOA7,0.8428571428571429,0.85,0.9,0.35
TAF7,0.8523809523809524,0.85,0.9166666666666666,0.35
SOX18,0.8476190476190476,0.8499999999999999,0.9777777777777779,0.34999999999999987
COLGALT1,0.8476190476190476,0.8499999999999999,0.9027777777777779,0.34999999999999987
RASSF1,0.8428571428571429,0.8499999999999999,0.913888888888889,0.34999999999999987
LBR,0.8476190476190476,0.8499999999999999,0.9166666666666666,0.34999999999999987
TIPARP,0.8428571428571429,0.8499999999999999,0.961111111111111,0.34999999999999987
