gene,random_forest_importance
SFXN1,0.0019999999999999983
LBR,0.001999151103565365
ADIPOR2,0.0018959519686042156
GPR3,0.0018947368421052629
ELMSAN1,0.0018938879456706283
MAL2,0.0018925000000000005
SOCS1,0.0018901098901098906
LONRF1,0.0018894878706199462
PRKCA,0.001885660731021556
GMFG,0.0018804347826086954
ATOH8,0.0018664378697264997
CFI,0.0018651590323883302
KLF4,0.0018152173913043483
RASSF1,0.001799447295696803
INPP1,0.0017888201824895614
STARD13,0.0017640051347881914
CALCOCO2,0.0016301034550401305
TET2,0.0013209153318077798
VWF,0.0013179095436801724
RAP2B,0.0012662538699690416
NDUFB9,0.0012112234227953992
RHOB,0.0012059880239520969
CD36,0.0011333333333333338
TBC1D8,0.0011322916666666666
IPO11,0.0011098901098901095
PTPRB,0.001107499999999999
CTSL,0.0011059602649006622
EPAS1,0.0011059602649006615
MET,0.0011059602649006602
PDLIM1,0.0011052631578947368
APOL3,0.001105219552609775
SOCS2,0.0011007248660573584
COLGALT1,0.0010312024608501132
MRPS36,0.0010000000000000013
TP53INP2,0.0010000000000000009
TMEM88,0.0010000000000000009
KLHL5,0.0010000000000000007
FOXO3,0.0010000000000000007
MCL1,0.0010000000000000005
TAF11,0.0010000000000000005
ZFAND5,0.0010000000000000005
RAB20,0.0010000000000000005
TRIM35,0.0010000000000000002
GNG12,0.0010000000000000002
MARCKS,0.0010000000000000002
KIAA0040,0.001
IRAK3,0.001
LRRC8A,0.001
TSPAN14,0.001
UBC,0.001
GATA6,0.001
SOD1,0.001
CISD1,0.001
PPFIBP1,0.0009999999999999996
SP1,0.0009999999999999994
DDIT4,0.000999999999999999
HLA-E,0.0009991074982804045
PSMA3,0.0009962219444392623
LTB,0.0009890092093163693
COTL1,0.0009078260869565212
RILPL2,0.0008947368421052632
DHRS3,0.0008921739130434794
LGALSL,0.0008901098901098914
TPT1,0.0008894878706199464
ZFP36L1,0.0008856607310215558
SLC22A23,0.0008804347826086951
CDKN1C,0.0008668730650154808
FAM171A1,0.0008668730650154798
TMEM106B,0.0008666666666666665
DDIT4L,0.0008645720476706392
AC010997.5,0.0008645720476706388
CLCNKB,0.0008418300653594773
MOB1B,0.000788961038961039
DNAJC1,0.0007527980535279818
OGT,0.0005218437363192019
EHD1,0.00037564231283114253
EPS8L2,0.0003558792756371765
PTBP3,0.000353314000801391
PGD,0.00026292186074794834
ZNF608,0.0002486518071262489
CAMK2N1,0.0002472019464720188
BMP2K,0.00023825193156732922
DDAH1,0.0002210242587601076
SLC12A2,0.00021361205432937126
CA2,0.00021103896103896085
ATP6V1C1,0.00020327868852459017
B4GALT6,0.0001581699346405233
