gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
THRB,0.9095238095238095,0.9083333333333332,0.9416666666666667,0.4083333333333332
NUDT16,0.9047619047619048,0.9083333333333332,0.975,0.4083333333333332
ARL6,0.9142857142857143,0.9083333333333332,0.9083333333333332,0.4083333333333332
NOD2,0.9095238095238095,0.9083333333333332,0.9666666666666666,0.4083333333333332
MCU,0.9095238095238095,0.9083333333333332,0.9583333333333333,0.4083333333333332
HMGB1,0.9095238095238095,0.9083333333333332,0.9111111111111111,0.4083333333333332
AC021016.3,0.9095238095238095,0.9,0.9,0.4
IGHG3,0.9095238095238095,0.9,0.9,0.4
HIST1H2BH,0.9095238095238095,0.9,0.9333333333333332,0.4
SLC11A1,0.9,0.9,0.9,0.4
GIPR,0.9095238095238095,0.9,0.9,0.4
STOX2,0.9047619047619048,0.8999999999999998,0.9333333333333332,0.3999999999999998
SOCS1,0.9047619047619048,0.8916666666666666,0.9666666666666666,0.3916666666666666
CREM,0.8761904761904763,0.8916666666666666,0.975,0.3916666666666666
P2RY6,0.880952380952381,0.8916666666666666,0.8388888888888889,0.3916666666666666
AKAP13,0.8761904761904763,0.8833333333333332,0.9333333333333332,0.3833333333333332
S100A1,0.9047619047619048,0.8833333333333332,0.8944444444444445,0.3833333333333332
RILPL2,0.8761904761904763,0.8833333333333332,0.888888888888889,0.3833333333333332
IRS2,0.8761904761904763,0.8833333333333332,0.9333333333333333,0.3833333333333332
CYTIP,0.8809523809523808,0.8833333333333332,0.8944444444444445,0.3833333333333332
FAM111B,0.9047619047619048,0.8833333333333332,0.9333333333333332,0.3833333333333332
DYNLT1,0.8761904761904761,0.875,0.9388888888888889,0.375
CH25H,0.8714285714285713,0.875,0.925,0.375
ELF1,0.8714285714285713,0.875,1.0,0.375
DZIP1,0.880952380952381,0.875,0.9,0.375
WEE1,0.8761904761904763,0.875,0.8944444444444445,0.375
FLRT3,0.8761904761904763,0.875,0.9555555555555555,0.375
BTG1,0.8761904761904763,0.875,0.9666666666666666,0.375
YY2,0.8761904761904763,0.875,0.9069444444444443,0.375
C2orf81,0.8714285714285716,0.875,0.9111111111111111,0.375
PRKAG2-AS1,0.8714285714285716,0.875,0.9222222222222222,0.375
NR2F1,0.8761904761904763,0.8749999999999998,0.8861111111111111,0.3749999999999998
DNALI1,0.8761904761904763,0.8749999999999998,0.9,0.3749999999999998
CEBPD,0.8761904761904763,0.8749999999999998,0.9833333333333332,0.3749999999999998
GLUL,0.8714285714285716,0.8749999999999998,0.9777777777777779,0.3749999999999998
ZFP36L1,0.8761904761904763,0.8749999999999998,0.925,0.3749999999999998
PRDM1,0.8714285714285716,0.8749999999999998,0.9305555555555556,0.3749999999999998
LCA5,0.8761904761904763,0.8666666666666666,0.888888888888889,0.3666666666666666
LINC01355,0.8761904761904763,0.8666666666666666,0.8805555555555555,0.3666666666666666
FRK,0.8761904761904761,0.8666666666666666,0.85,0.3666666666666666
TNFAIP3,0.8761904761904763,0.8666666666666666,0.9777777777777779,0.3666666666666666
ZNF724,0.8761904761904763,0.8666666666666666,0.8666666666666666,0.3666666666666666
AL117379.1,0.880952380952381,0.8666666666666666,0.8666666666666666,0.3666666666666666
ROR1,0.880952380952381,0.8666666666666666,0.8666666666666666,0.3666666666666666
MIR3142HG,0.8761904761904763,0.8666666666666666,0.9,0.3666666666666666
AREG,0.8761904761904763,0.8666666666666666,0.925,0.3666666666666666
GPR68,0.880952380952381,0.8666666666666666,0.925,0.3666666666666666
AC009065.4,0.880952380952381,0.8666666666666666,0.8666666666666666,0.3666666666666666
ETS2,0.8428571428571429,0.8666666666666666,0.9666666666666666,0.3666666666666666
FHL2,0.8761904761904763,0.8666666666666666,0.9444444444444444,0.3666666666666666
AC064805.1,0.880952380952381,0.8666666666666666,0.8666666666666666,0.3666666666666666
AC022364.1,0.8761904761904763,0.8666666666666666,0.8666666666666666,0.3666666666666666
RAB38,0.8809523809523808,0.8666666666666666,0.9333333333333332,0.3666666666666666
PRR35,0.880952380952381,0.8666666666666666,0.8666666666666666,0.3666666666666666
AC116913.1,0.8761904761904763,0.8666666666666666,0.8555555555555555,0.3666666666666666
AL022328.4,0.8761904761904763,0.8666666666666666,0.8666666666666666,0.3666666666666666
USP53,0.8714285714285716,0.8583333333333332,0.8722222222222221,0.35833333333333317
ZMIZ2,0.8476190476190476,0.8583333333333332,0.9444444444444444,0.35833333333333317
NLRP12,0.8761904761904763,0.8583333333333332,0.8583333333333334,0.35833333333333317
NCKAP1,0.8476190476190476,0.8583333333333332,0.8777777777777779,0.35833333333333317
DTX4,0.8714285714285716,0.85,0.85,0.35
ZNF629,0.8666666666666668,0.85,0.861111111111111,0.35
ZNF79,0.8761904761904763,0.85,0.9,0.35
