gene,random_forest_importance
SPRY1,0.0008771186440677994
RHBDL2,0.0008756868131868151
KIF5A,0.0008750000000000055
COX5B,0.000793220338983051
DSEL,0.00035457634470792323
MRPL15,0.0003058643523268087
PIM3,0.0002540540540540544
TFAP4,0.0002461692881524645
SLC31A2,0.0002151935174325613
SLC25A4,0.00021198156682027786
ZNF662,0.00021172483521029618
PQLC1,0.00020044792833146788
PRKD3,0.00013793103448276128
CCDC51,0.000129172714078376
COL4A2,0.0001265912305516272
ITGB6,0.00012500000000000317
TPBG,0.00012500000000000174
B3GALT5,0.00012448700410396787
RBBP8NL,0.00012431318681319146
VWDE,0.0001243131868131908
MCTP2,0.00012431318681318992
MT-CYB,0.00011384615384615323
MED9,0.00011267605633803271
ORC4,0.0001104441776710711
ZBTB16,0.00010796460176991292
EIF1,0.00010722891566265183
PPIF,0.00010630841121495666
SPATA6L,0.00010630841121495553
CHCHD10,0.0001063084112149555
EPB41L4A,0.00010630841121495515
GSTCD,0.00010630841121495328
TGM7,0.00010585452395032678
CYTIP,0.00010585452395032503
SAMD13,0.00010541642399534587
TNFSF10,0.00010526315789474177
FAM227A,0.00010506965944272751
YRDC,7.090458324939917e-18
AC005697.2,5.091038960514358e-18
RGS17,4.942864106720129e-18
MST1R,4.914516087531418e-18
CDIP1,4.4490998454733295e-18
VANGL1,4.234148644235488e-18
NDUFB6,3.94235632176094e-18
GRPEL1,3.66419857418994e-18
NDUFB7,3.651840734570601e-18
ACKR4,3.520239655330213e-18
HSPA9,3.361728884683432e-18
UQCRB,3.334723564823239e-18
PAPPA-AS1,3.3249084006783017e-18
PTP4A1,3.237468772597724e-18
SDC3,3.1275566931598325e-18
GPC4,2.759366809120439e-18
SKP2,2.7404978871010418e-18
COX6C,2.549349620295514e-18
TFPI,2.5373222041954085e-18
COX8A,2.5296876818299558e-18
STK36,2.4841240175987853e-18
RNF217,2.483525367928644e-18
SETD1B,2.4800476348141353e-18
PLS1,2.455046747906221e-18
ISCA1,2.289002321020915e-18
EPG5,2.2716033846987255e-18
RAB3D,2.263744747210691e-18
YPEL2,2.1094237467877947e-18
ABCC3,2.0724747454243937e-18
SIK2,2.0472512574087873e-18
GALNT1,2.026430455436178e-18
LRRK2,2.025612792968053e-18
MTFR2,1.940386849018888e-18
ENC1,1.9206858326015192e-18
SKA3,1.859979406960156e-18
ZNF462,1.776356839400249e-18
CTXN1,1.775960331177169e-18
RCBTB2,1.6653345369377328e-18
RAC2,1.6560826783991897e-18
EMD,1.6015627977256338e-18
CYSTM1,1.4900361646284985e-18
PARP8,1.4762156638704586e-18
SLC38A9,1.4441439497239516e-18
TBX19,1.393472232189779e-18
EFCAB12,1.3375915060425415e-18
NUDT16,1.317068147665438e-18
MMP2,1.2930133154652266e-18
MPC1,1.2669657752720973e-18
WDR19,1.1829161988565646e-18
FIGNL1,1.1820609850420771e-18
TTC30B,1.1612473722794512e-18
ALDH1L1-AS2,1.15127814688994e-18
OGDHL,1.1374343732679293e-18
CCNB1IP1,1.0835776720341525e-18
COX7C,1.0683991817612137e-18
IFI16,1.032828220380131e-18
WFDC2,8.914826548924617e-19
AGPS,8.881784197001243e-19
ZFP36,8.840150833577806e-19
MRPL41,8.764775397837322e-19
RLN2,8.280413391995954e-19
TMEM63A,8.206250324580588e-19
TP53,8.187894806610522e-19
MRPS36,7.986844803753731e-19
GADD45G,7.600757630126066e-19
MEPCE,7.600757630126063e-19
SYT11,7.094931551695931e-19
MCM7,5.458596537740349e-19
SH3BP4,0.0
PLEKHA1,0.0
FAM111A,0.0
CCNA2,0.0
