gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SOX13,0.7857142857142858,0.7749999999999998,0.8944444444444445,0.2749999999999998
PJVK,0.7761904761904763,0.7666666666666667,0.7666666666666667,0.2666666666666667
EPS8L2,0.7761904761904762,0.7666666666666666,0.8444444444444444,0.2666666666666666
RAP1GAP,0.7714285714285715,0.7666666666666666,0.8236111111111111,0.2666666666666666
FAM3C,0.7619047619047619,0.7666666666666666,0.7916666666666666,0.2666666666666666
AMOTL2,0.7571428571428572,0.7666666666666666,0.7944444444444444,0.2666666666666666
MTHFR,0.761904761904762,0.7666666666666666,0.8944444444444443,0.2666666666666666
FBXO32,0.7857142857142858,0.7666666666666666,0.975,0.2666666666666666
SRGN,0.7571428571428571,0.7666666666666666,0.8416666666666666,0.2666666666666666
EGR3,0.780952380952381,0.7666666666666665,0.9027777777777777,0.2666666666666665
IFI44,0.780952380952381,0.7583333333333333,0.8333333333333334,0.2583333333333333
B3GAT3,0.780952380952381,0.7583333333333333,0.7,0.2583333333333333
GLS,0.780952380952381,0.7583333333333333,0.8722222222222221,0.2583333333333333
PLAU,0.7476190476190476,0.7583333333333333,0.7583333333333334,0.2583333333333333
NR2F1,0.7523809523809524,0.7583333333333333,0.7472222222222221,0.2583333333333333
AC245060.5,0.7571428571428571,0.7583333333333333,0.7416666666666666,0.2583333333333333
SESN1,0.7428571428571429,0.7583333333333333,0.8666666666666666,0.2583333333333333
WFDC1,0.7571428571428571,0.7583333333333332,0.7833333333333334,0.2583333333333332
APOBEC3H,0.7809523809523811,0.7583333333333332,0.7916666666666666,0.2583333333333332
HNMT,0.7571428571428571,0.7583333333333332,0.7888888888888889,0.2583333333333332
SLC3A1,0.7523809523809524,0.7583333333333332,0.8444444444444444,0.2583333333333332
SPINT2,0.7761904761904762,0.7583333333333332,0.8527777777777779,0.2583333333333332
NANS,0.761904761904762,0.7583333333333332,0.8444444444444444,0.2583333333333332
FGF13,0.7809523809523811,0.7583333333333332,0.7652777777777777,0.2583333333333332
FILIP1,0.7523809523809525,0.75,0.75,0.25
MOXD1,0.7571428571428571,0.75,0.6833333333333333,0.25
ITPRIPL2,0.7476190476190475,0.7499999999999999,0.888888888888889,0.2499999999999999
FTX,0.7571428571428571,0.7499999999999999,0.6972222222222222,0.2499999999999999
GNG7,0.7571428571428571,0.7499999999999999,0.7666666666666666,0.2499999999999999
RBM24,0.7523809523809524,0.7499999999999999,0.8222222222222222,0.2499999999999999
KLF15,0.7761904761904763,0.7499999999999998,0.7583333333333334,0.24999999999999978
KIF12,0.7476190476190476,0.7416666666666667,0.825,0.2416666666666667
GLUL,0.7428571428571429,0.7416666666666666,0.8500000000000002,0.24166666666666659
PTK7,0.7476190476190475,0.7416666666666666,0.861111111111111,0.24166666666666659
PCDH18,0.719047619047619,0.7333333333333333,0.7416666666666666,0.23333333333333328
NRGN,0.7238095238095238,0.7333333333333333,0.7833333333333334,0.23333333333333328
KCTD12,0.7571428571428571,0.7333333333333333,0.7527777777777778,0.23333333333333328
TMEM176A,0.7238095238095237,0.7333333333333332,0.7166666666666666,0.23333333333333317
PLEKHO1,0.7476190476190476,0.7333333333333332,0.9111111111111111,0.23333333333333317
PPIF,0.7476190476190475,0.7333333333333332,0.8027777777777777,0.23333333333333317
LRRC10B,0.7142857142857143,0.7333333333333332,0.8416666666666666,0.23333333333333317
IFIT3,0.7476190476190475,0.7333333333333332,0.6916666666666667,0.23333333333333317
MAP3K1,0.7476190476190476,0.7333333333333332,0.8,0.23333333333333317
KIAA0232,0.7285714285714285,0.7333333333333332,0.7833333333333334,0.23333333333333317
IRS2,0.719047619047619,0.725,0.8222222222222222,0.22499999999999998
LMBRD1,0.7238095238095238,0.725,0.7972222222222222,0.22499999999999998
DAPK1,0.7333333333333334,0.725,0.85,0.22499999999999998
NR4A2,0.719047619047619,0.7249999999999999,0.7666666666666667,0.22499999999999987
MTHFD2,0.7238095238095238,0.7249999999999999,0.8916666666666666,0.22499999999999987
ABHD2,0.7476190476190475,0.7249999999999999,0.7472222222222222,0.22499999999999987
EVA1B,0.7142857142857142,0.7249999999999999,0.8111111111111111,0.22499999999999987
WDR72,0.7523809523809524,0.7249999999999999,0.85,0.22499999999999987
RAB3IP,0.7190476190476192,0.7166666666666667,0.7194444444444444,0.21666666666666667
ARMC2,0.7190476190476189,0.7166666666666666,0.7472222222222222,0.21666666666666656
JKAMP,0.7238095238095237,0.7166666666666666,0.7916666666666666,0.21666666666666656
HLA-DQB1,0.7238095238095237,0.7166666666666666,0.775,0.21666666666666656
PLEKHH2,0.719047619047619,0.7166666666666666,0.775,0.21666666666666656
PTMS,0.7190476190476189,0.7166666666666666,0.7083333333333333,0.21666666666666656
CYBA,0.7285714285714286,0.7166666666666666,0.7277777777777776,0.21666666666666656
SLC44A3,0.7190476190476189,0.7166666666666666,0.8138888888888889,0.21666666666666656
SAMD9,0.719047619047619,0.7166666666666666,0.7555555555555555,0.21666666666666656
MEF2D,0.6952380952380952,0.7083333333333333,0.825,0.20833333333333326
ARHGEF12,0.7238095238095237,0.7083333333333333,0.7833333333333332,0.20833333333333326
ARID5B,0.7238095238095238,0.7083333333333333,0.7416666666666666,0.20833333333333326
SRL,0.7,0.7083333333333333,0.7888888888888889,0.20833333333333326
ZNF703,0.7428571428571429,0.7083333333333333,0.7472222222222221,0.20833333333333326
RRAD,0.7238095238095238,0.7083333333333333,0.8861111111111111,0.20833333333333326
CD74,0.7238095238095238,0.7083333333333333,0.8083333333333333,0.20833333333333326
SENP1,0.7190476190476189,0.7083333333333333,0.6666666666666667,0.20833333333333326
SESN3,0.7238095238095238,0.7083333333333333,0.775,0.20833333333333326
DDIT4L,0.7190476190476189,0.7083333333333333,0.836111111111111,0.20833333333333326
DHRS7,0.6952380952380952,0.7083333333333333,0.85,0.20833333333333326
SLC35A1,0.6952380952380952,0.7,0.8333333333333334,0.19999999999999996
RUFY3,0.6857142857142857,0.7,0.85,0.19999999999999996
TMEM116,0.7142857142857142,0.7,0.7555555555555555,0.19999999999999996
ID1,0.7,0.7,0.8055555555555556,0.19999999999999996
ITPRIP,0.6952380952380952,0.7,0.7833333333333334,0.19999999999999996
JMJD6,0.6904761904761905,0.7,0.8722222222222223,0.19999999999999996
CCDC91,0.6809523809523809,0.7,0.7597222222222223,0.19999999999999996
CSRP1,0.6904761904761905,0.7,0.7166666666666667,0.19999999999999996
SLC7A8,0.6857142857142856,0.7,0.763888888888889,0.19999999999999996
