gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
TOB2,0.7857142857142857,0.7916666666666665,0.9444444444444444,0.2916666666666665
DHRS3,0.7857142857142857,0.7916666666666665,0.9083333333333334,0.2916666666666665
PPIF,0.7761904761904762,0.7833333333333333,0.9222222222222223,0.2833333333333333
ECT2,0.7857142857142857,0.7833333333333333,0.9333333333333332,0.2833333333333333
RCAN1,0.7857142857142858,0.7833333333333333,0.8944444444444445,0.2833333333333333
RGS17,0.7904761904761906,0.7833333333333332,0.9333333333333332,0.2833333333333332
GPC4,0.7952380952380953,0.7833333333333332,0.8111111111111111,0.2833333333333332
DNAJC19,0.780952380952381,0.7833333333333332,0.8722222222222223,0.2833333333333332
ZNF662,0.7904761904761906,0.7833333333333332,0.9083333333333332,0.2833333333333332
SAMD13,0.7904761904761906,0.7833333333333332,0.8638888888888889,0.2833333333333332
ZNF300,0.7857142857142857,0.775,0.925,0.275
ARNT,0.7857142857142857,0.775,0.8833333333333334,0.275
TNFRSF11B,0.7857142857142857,0.775,0.8555555555555555,0.275
VPS37B,0.7619047619047619,0.7666666666666666,0.8833333333333332,0.2666666666666666
IFI16,0.7761904761904762,0.7666666666666666,0.8694444444444445,0.2666666666666666
WASF1,0.761904761904762,0.7666666666666666,0.85,0.2666666666666666
MCTP2,0.7666666666666667,0.7666666666666666,0.9,0.2666666666666666
ITGB6,0.780952380952381,0.7666666666666666,0.8083333333333332,0.2666666666666666
MRPL15,0.7666666666666667,0.7666666666666666,0.8166666666666667,0.2666666666666666
NDUFB6,0.7666666666666667,0.7666666666666666,0.7777777777777778,0.2666666666666666
GRAMD1B,0.7666666666666667,0.7666666666666666,0.8694444444444445,0.2666666666666666
FIGNL1,0.761904761904762,0.7666666666666666,0.8805555555555555,0.2666666666666666
CASP10,0.7857142857142858,0.7666666666666665,0.8,0.2666666666666665
PLS1,0.7857142857142857,0.7666666666666665,0.8444444444444444,0.2666666666666665
EMD,0.7571428571428571,0.7666666666666665,0.861111111111111,0.2666666666666665
HSPA9,0.7571428571428571,0.7583333333333333,0.8777777777777777,0.2583333333333333
CD83,0.7619047619047619,0.7583333333333333,0.888888888888889,0.2583333333333333
COX7B,0.7571428571428571,0.7583333333333333,0.8777777777777779,0.2583333333333333
CCDC102A,0.7571428571428571,0.7583333333333332,0.8777777777777779,0.2583333333333332
XRCC4,0.7666666666666667,0.7583333333333332,0.8666666666666666,0.2583333333333332
TM4SF18,0.761904761904762,0.7583333333333332,0.8555555555555555,0.2583333333333332
COX7C,0.761904761904762,0.7583333333333332,0.8694444444444445,0.2583333333333332
TP53,0.761904761904762,0.7583333333333332,0.7805555555555556,0.2583333333333332
CFI,0.7523809523809524,0.75,0.8166666666666667,0.25
UBE2Q2,0.7571428571428571,0.7499999999999999,0.8472222222222223,0.2499999999999999
CYTIP,0.7571428571428571,0.7499999999999999,0.788888888888889,0.2499999999999999
RAC2,0.7571428571428571,0.7499999999999999,0.825,0.2499999999999999
RASGEF1B,0.7571428571428571,0.7499999999999999,0.8,0.2499999999999999
MT-CYB,0.7571428571428571,0.7499999999999999,0.8777777777777779,0.2499999999999999
HNF1B,0.7571428571428571,0.7499999999999999,0.8111111111111111,0.2499999999999999
RBBP8NL,0.761904761904762,0.7499999999999998,0.7805555555555556,0.24999999999999978
EPG5,0.761904761904762,0.7499999999999998,0.8472222222222223,0.24999999999999978
MRPS36,0.761904761904762,0.7499999999999998,0.8194444444444444,0.24999999999999978
RCBTB2,0.761904761904762,0.7499999999999998,0.7944444444444444,0.24999999999999978
UQCRH,0.7285714285714285,0.7416666666666666,0.7972222222222222,0.24166666666666659
SLC38A9,0.7571428571428571,0.7416666666666666,0.9111111111111111,0.24166666666666659
RAB3D,0.7571428571428571,0.7416666666666666,0.6972222222222222,0.24166666666666659
CCNA2,0.7476190476190475,0.7333333333333333,0.788888888888889,0.23333333333333328
ORC4,0.7476190476190475,0.7333333333333333,0.8027777777777777,0.23333333333333328
GSTCD,0.7619047619047619,0.7333333333333333,0.8666666666666666,0.23333333333333328
RUFY3,0.7333333333333333,0.7333333333333333,0.8222222222222222,0.23333333333333328
ANKRD9,0.7285714285714285,0.7333333333333333,0.836111111111111,0.23333333333333328
NDUFAF4,0.7333333333333334,0.7333333333333332,0.861111111111111,0.23333333333333317
NDUFB1,0.7333333333333334,0.7333333333333332,0.8166666666666667,0.23333333333333317
STOX2,0.7285714285714285,0.725,0.8527777777777779,0.22499999999999998
CNBP,0.7285714285714285,0.725,0.8694444444444442,0.22499999999999998
NUDT16,0.7285714285714285,0.7249999999999999,0.8000000000000002,0.22499999999999987
DGKH,0.7285714285714285,0.7249999999999999,0.8305555555555555,0.22499999999999987
MPC1,0.7285714285714285,0.7249999999999999,0.8388888888888889,0.22499999999999987
TTC30B,0.7285714285714285,0.7249999999999999,0.925,0.22499999999999987
CTXN1,0.7285714285714285,0.7166666666666666,0.8722222222222221,0.21666666666666656
GNG7,0.7285714285714285,0.7166666666666666,0.825,0.21666666666666656
