gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
AC074386.1,0.006994839121371322,0.003372932293232045,0.003621906828139277,0.5275220786372575,1.4837634903285644,0.14929668063005766,0.5101152813329056,0.0056007951982260966,0.002956120092378753,0.0026446751058473435,15,18,False,up_in_case,0.0,-0.0011450823553259704,1.0,0.0056007951982260966,0.006875925874164967,0.0,0.0
AC078845.1,8.997803602131357e-05,0.0,8.997803602131357e-05,0.5626488867271204,1.4644220663897534,0.1651709963124606,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,8.997803602131357e-05,0.9725079514753338,0.00011469205184080744,0.0,0.012106839084267055,0.0
AC079328.2,8.377088650862625e-05,0.0,8.377088650862625e-05,0.556912243012846,1.4494911426105086,0.16923033322771092,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,3.3358455404128614e-05,1.0,0.00011469205184080744,5.5901836375324926e-05,-0.0,0.0
AC079447.1,0.013818441760084338,0.008709856579840268,0.00510858518024407,0.5311142286816408,1.4817663078071157,0.15049607817153118,0.5101152813329056,0.013610123485109149,0.00909930715935335,0.0045108163257558,15,18,False,up_in_case,0.0,-0.006421729754186178,0.9725079514753338,0.013610123485109149,0.01587612153059228,0.0,0.0
AC079848.1,0.0014369519225220706,0.0,0.0014369519225220706,0.5530862026522112,1.4395329998625448,0.17198359150866763,0.5101152813329056,0.0023511870627365523,0.0,0.0023511870627365523,15,18,False,up_in_case,0.0,0.0008201603661162816,1.0,0.0023511870627365523,0.00041926377281493695,-0.0,0.0
AC079907.1,0.00017992759418897423,0.0,0.00017992759418897423,0.5625790844765445,1.4642403901109258,0.16521989673124562,0.5101152813329056,0.00015292273578774323,0.0,0.00015292273578774323,15,18,False,up_in_case,0.0,0.0001222118443612449,0.9968639177813227,0.00015292273578774323,2.7950918187662463e-05,0.0013641233235867174,0.0
AC080023.1,0.00023353069650485184,5.3833922290761914e-05,0.00017969677421408991,0.5402179019278299,1.4667841597477238,0.15758396947132886,0.5101152813329056,0.00019115341973467907,9.237875288683603e-05,9.877466684784303e-05,15,18,False,up_in_case,0.0,4.08976885589103e-05,1.0,0.00019115341973467907,0.0002236073455012997,-0.0,0.0
AC084018.2,0.0032919542874034553,0.001941831423190089,0.0013501228642133663,0.4947174694982117,1.3991423150156752,0.17262742410688411,0.5101152813329056,0.0025614558244446994,0.0016628175519630484,0.000898638272481651,15,18,False,up_in_case,0.0,0.0007643239206230512,1.0,0.0025614558244446994,0.0017609078458227353,-0.0,0.0
AC084116.3,0.00016535705911113505,0.0,0.00016535705911113505,0.5603279597104446,1.4583813244317074,0.16680342840044265,0.5101152813329056,0.00015292273578774323,0.0,0.00015292273578774323,15,18,False,up_in_case,0.0,-0.0003023785078477226,0.9725079514753338,0.00015292273578774323,0.00036336193643961203,0.0,0.0
AC087190.1,0.00404003471038694,0.002276235849104511,0.001763798861282429,0.5224543489209527,1.4712271071444514,0.15254821451192824,0.5101152813329056,0.002618801850365103,0.0017090069284064666,0.0009097949219586364,15,18,False,up_in_case,0.0,-0.0005091532798794157,1.0,0.002618801850365103,0.003130502837018196,0.0,0.0
AC087362.2,0.00011051256597007882,0.0,0.00011051256597007882,0.5589092828192547,1.4546888942260412,0.16780786945074477,0.5101152813329056,7.646136789387162e-05,0.0,7.646136789387162e-05,15,18,False,up_in_case,0.0,6.0289295442405036e-05,1.0,7.646136789387162e-05,5.5901836375324926e-05,-0.0,0.0
AC087473.1,7.457111865945376e-05,0.0,7.457111865945376e-05,0.5559060723660566,1.4468723539974484,0.1699508075601089,0.5101152813329056,9.557670986733953e-05,0.0,9.557670986733953e-05,15,18,False,up_in_case,0.0,7.457111865945376e-05,0.9725079514753338,9.557670986733953e-05,0.0,0.012106839084267055,0.0
AC087623.2,0.001706204440071373,0.0,0.001706204440071373,0.561231126476519,1.4607320219503013,0.16616659034549028,0.5101152813329056,0.00282907061207325,0.0,0.00282907061207325,15,18,False,up_in_case,0.0,0.001347930447860762,0.9725079514753338,0.00282907061207325,0.0002515582636889622,0.012106839084267055,0.0
AC090136.3,0.00027054342824338974,0.0,0.00027054342824338974,0.5550198315210765,1.4445657100492584,0.17058751659016516,0.5101152813329056,0.00019115341973467907,0.0,0.00019115341973467907,15,18,False,up_in_case,0.0,0.00027054342824338974,0.9725079514753338,0.00019115341973467907,0.0,0.012106839084267055,0.0
AC090360.1,0.003971772898856182,0.0023314499204775928,0.0016403229783785896,0.5080285055369791,1.420691858977169,0.1671579745880316,0.5101152813329056,0.00365103031693237,0.0022632794457274827,0.0013877508712048874,15,18,False,up_in_case,0.0,-0.00022526028973523723,1.0,0.00365103031693237,0.0031025519188305336,0.0,0.0
AC091185.1,0.00011288056842401363,0.0,0.00011288056842401363,0.5604736006907071,1.4587603883031524,0.1667005970607127,0.5101152813329056,0.00011469205184080744,0.0,0.00011469205184080744,15,18,False,up_in_case,0.0,0.00011288056842401363,0.9725079514753338,0.00011469205184080744,0.0,0.012106839084267055,0.0
AC092078.2,0.0028532965545178274,0.005671050629910853,-0.0028177540753930256,-0.4878840873585143,-1.4900251349984517,0.14940342329183987,0.5101152813329056,0.003249608135489544,0.005958429561200924,-0.00270882142571138,15,18,False,down_in_case,0.0,0.002016889797732178,0.9725079514753338,0.003249608135489544,0.0006428711183162367,0.012106839084267055,0.0
AC092123.1,0.002303882194592558,0.0038106396878671758,-0.0015067574932746178,-0.46877278591841615,-1.3972325532225065,0.17296695837468115,0.5101152813329056,0.0023320717207630844,0.003325635103926097,-0.0009935633831630124,15,18,False,down_in_case,0.0,-0.00019710111826054793,1.0,0.0023320717207630844,0.002543533555077284,0.0,0.0
AC092368.3,0.0021931130358587084,0.0012952281788479755,0.0008978848570107328,0.496092056633016,1.4035077900098756,0.1713140231947843,0.5101152813329056,0.002045341591161066,0.0012933025404157045,0.0007520390507453614,15,18,False,up_in_case,0.0,0.0007617520719588758,0.981805193447638,0.002045341591161066,0.0011459876456941611,0.007974674945778843,0.0
AC092378.1,0.00024315986696083063,0.0,0.00024315986696083063,0.5583654586448673,1.453273467767381,0.16819423766965275,0.5101152813329056,0.00022938410368161487,0.0,0.00022938410368161487,15,18,False,up_in_case,0.0,0.00012561148911331647,1.0,0.00022938410368161487,0.00011180367275064985,-0.0,0.0
