subclass.l1,marker_set,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
TAL,up_in_CKD,TIMP1,0.6209358896097644,0.08094570636704086,0.5399901832427235,1.8402581738897683,4.647771834874877,0.00030867150507480685,0.01583062158806893,0.2767857142857143,0.04636488340192044,0.23042083088379386,14,18,True,up_in_case,1.7891973075385081
TAL,up_in_CKD,TSPAN8,0.9923793529427647,0.62566929077451,0.36671006216825475,1.912033915658564,5.240366156384784,1.9636536545218553e-05,0.003048928537363381,0.5646216407355021,0.5327846364883402,0.03183700424716196,14,18,True,up_in_case,1.7640205406455103
TAL,up_in_CKD,C12orf75,0.46366431010088627,0.10287595650743554,0.36078835359345074,2.1685149406216913,5.470310282569998,6.423053165989466e-05,0.006106841317817677,0.28642149929278643,0.10864197530864197,0.17777952398414446,14,18,True,up_in_case,1.7323215664178886
TAL,up_in_CKD,RASSF7,0.6201601177808528,0.37395898010708056,0.24620113767377222,2.2914310637630066,6.130127489073004,3.7171204492831126e-06,0.0011780412500804942,0.43113507779349364,0.38545953360768176,0.04567554418581188,14,18,True,up_in_case,1.6523134006692866
TAL,up_in_CKD,MMP7,0.4480094400971472,0.05150018058076169,0.39650925951638555,2.065633203128244,5.126974263444114,0.0001683510521132599,0.011011164492179981,0.22233026874115983,0.03155006858710562,0.1907802001540542,14,18,True,up_in_case,1.6038221655385798
TAL,up_in_CKD,C4orf48,0.7344384914050431,0.35928997319321526,0.3751485182118279,1.8965943043424416,5.043647371722593,5.380026356172025e-05,0.005630115423191157,0.4796676096181047,0.36460905349794237,0.1150585561201623,14,18,True,up_in_case,1.6005171613947329
TAL,up_in_CKD,LDHA,1.029523097299952,0.5478055475700753,0.4817175497298768,1.7588408743574817,4.570646400249131,0.00023269744049206345,0.013460875340788943,0.5523338048090524,0.5004115226337449,0.05192228217530748,14,18,True,up_in_case,1.5851698036440773
TAL,up_in_CKD,HOXB3,0.4262457877662554,0.208674941015781,0.2175708467504744,2.3041749512813894,6.2631771852284475,1.778576871098146e-06,0.0007464295997302592,0.30701909476661954,0.22469135802469137,0.08232773674192817,14,18,True,up_in_case,1.5676372783222705
TAL,up_in_CKD,PCSK1N,1.6287071398373203,1.0250953403363507,0.6036117995009695,1.4873449590745034,4.056855918120693,0.00044144628323413874,0.019721479737737187,0.7260431400282885,0.712482853223594,0.013560286804694566,14,18,True,up_in_case,1.5307674567978389
TAL,up_in_CKD,SLC35F5,0.46746478319129325,0.2459006427353946,0.22156414045589864,2.393906645081208,6.262308776328786,5.24968748618911e-06,0.0014721209183263938,0.36704384724186706,0.27023319615912206,0.096810651082745,14,18,True,up_in_case,1.5021337309467016
TAL,up_in_CKD,SYPL1,0.5964798092017832,0.3722634132543121,0.22421639594747111,2.459423395393861,6.279710920509801,1.034324189538645e-05,0.002084388095005052,0.43785360678925034,0.3917695473251029,0.04608405946414745,14,18,True,up_in_case,1.4784306262682732
TAL,up_in_CKD,SLPI,0.5152934053691091,0.03159360901138626,0.4836997963577228,1.8135885212181062,4.516237806263347,0.000494355772555273,0.021094029972784263,0.19527934936350777,0.01262002743484225,0.18265932192866552,14,18,True,up_in_case,1.4701015295792916
TAL,up_in_CKD,MDM4,0.5018334363646665,0.3183851385204614,0.18344829784420508,2.301334292859212,6.395204351164327,7.558291023617263e-07,0.000431171432547274,0.34786067892503536,0.3278463648834019,0.020014314041633452,14,18,True,up_in_case,1.4207695353644605
TAL,up_in_CKD,PAPPA2,1.0113183758639692,0.37256344221616755,0.6387549336478017,1.5425387149410419,3.924812644333649,0.0012282466084543027,0.036562403182698766,0.37853606789250355,0.22770919067215364,0.1508268772203499,14,18,True,up_in_case,1.4158479332722966
TAL,up_in_CKD,PROM1,0.32728943976838515,0.053790885945838335,0.27349855382254684,2.29648637674251,5.705798335900149,5.920461534073688e-05,0.005881450695250647,0.21994342291371993,0.0551440329218107,0.16479938999190924,14,18,True,up_in_case,1.4009549203956198
TAL,up_in_CKD,ITGB8,0.505124980499743,0.233397222630071,0.27172775786967196,2.138525209889723,5.532096151517136,3.2163807118665024e-05,0.0040588990576366675,0.346004243281471,0.24828532235939643,0.09771892092207457,14,18,True,up_in_case,1.3897459785685238
TAL,up_in_CKD,TNFRSF11B,0.4704417632225459,0.12637321670984386,0.344068546512702,1.8778612522656437,4.80888853070696,0.00017704237603146844,0.011354666171932197,0.23426449787835926,0.0982167352537723,0.13604776262458695,14,18,True,up_in_case,1.2565771056857036
TAL,up_in_CKD,TMEM59,1.787673850295788,1.4896735314453795,0.29800031885040856,1.800833797106836,4.91500673815933,4.8405420689778276e-05,0.00526355718233718,0.816566478076379,0.8488340192043896,-0.03226754112801056,14,18,True,up_in_case,1.2228732647897806
TAL,up_in_CKD,ARHGAP29,0.5313939548086497,0.2524023909093261,0.2789915638993236,2.0853605078566497,5.229825603261706,0.00011398122847975064,0.008727658049185854,0.3826025459688826,0.2729766803840878,0.10962586558479481,14,18,True,up_in_case,1.1979815651549461
TAL,up_in_CKD,COL4A3,0.5794947557454827,0.3183507955073328,0.2611439602381499,1.9153059640509251,5.142590009279511,3.569716525006852e-05,0.004339838975319805,0.3758840169731259,0.3308641975308642,0.04501981944226169,14,18,True,up_in_case,1.1816662025194686
TAL,up_in_CKD,HLA-A,1.4308032380740208,0.9047142813590493,0.5260889567149715,1.4667549683834677,3.797913769254993,0.0013482783425502376,0.038705898838329464,0.7056223479490806,0.6765432098765433,0.02907913807253737,14,18,True,up_in_case,1.0897327058079502
TAL,up_in_CKD,ANXA2,0.6458714763264954,0.22753928224659845,0.41833219407989697,1.5666695480749984,4.086957396534776,0.0006524819780312384,0.025019681225851412,0.32416902404526166,0.19615912208504802,0.12800990196021364,14,18,True,up_in_case,1.0497474016062665
TAL,up_in_CKD,HOXA3,0.15817481338188993,0.05297364877873857,0.10520116460315136,2.9311986114119124,7.561978587768554,6.937710985586096e-07,0.0004019536302273944,0.12774045261669023,0.06529492455418381,0.06244552806250642,14,18,True,up_in_case,1.0471550052678882
TAL,up_in_CKD,CD59,1.5977003516997261,1.3085480698652772,0.28915228183444897,1.7164827109619352,4.65482629077228,0.0001026566875459631,0.00818604295527809,0.7796145685997171,0.8046639231824417,-0.025049354582724614,14,18,True,up_in_case,1.0357933132814903
TAL,up_in_CKD,FGL2,0.860207374056676,0.4124090656483956,0.44779830840828044,1.5032042490965054,3.916009662555263,0.0009742502118529386,0.03163327307837738,0.4124823196605375,0.2962962962962963,0.11618602336424122,14,18,True,up_in_case,1.009601461031583
TAL,up_in_CKD,GALNT3,0.2814686687238274,0.12819243964494717,0.15327622907888025,2.2812371093753616,6.059734282369772,5.282048330511161e-06,0.0014721209183263938,0.22277227722772278,0.15637860082304528,0.0663936764046775,14,18,True,up_in_case,0.9902552438044747
TAL,up_in_CKD,FAT1,0.3799740713093924,0.21025302314009334,0.1697210481692991,2.1503077642064743,5.7542622696384,8.853193957479971e-06,0.0019389345649120002,0.2919908062234795,0.2326474622770919,0.0593433439463876,14,18,True,up_in_case,0.9899105749286177
TAL,down_in_CKD,ZFAND5,0.39464613885845157,1.6998455889102706,-1.305199450051819,-4.7233966472639395,-14.818765789188049,2.7042272025203334e-12,2.506818616736349e-08,0.31285360678925034,0.8559670781893004,-0.5431134714000501,14,18,True,down_in_case,46.859214998171126
TAL,down_in_CKD,USP2,0.18744348140212766,1.0633029267944172,-0.8758594453922895,-5.121758361624853,-15.355136302017849,4.232118720677712e-15,1.5692696216272955e-10,0.17167609618104668,0.7349794238683127,-0.5633033276872661,14,18,True,down_in_case,43.98151674819761
TAL,down_in_CKD,CEBPD,0.42949273253507675,1.5947006790660891,-1.1652079465310123,-3.78820296304847,-11.799930755629202,7.611571533527445e-11,4.0319581780456815e-07,0.2905763790664781,0.850480109739369,-0.5599037306728909,14,18,True,down_in_case,28.225534901659525
TAL,down_in_CKD,PDK4,0.2079017968508015,1.6252302552048044,-1.417328458354003,-3.4697837379897662,-10.976334650216526,1.41723714658759e-09,4.379262782955653e-06,0.13083451202263083,0.7835390946502058,-0.6527045826275749,14,18,True,down_in_case,26.352642644432013
TAL,down_in_CKD,NFKBIA,0.2001643605488823,0.811483728006403,-0.6113193674575207,-4.385653024187929,-13.434525652170798,8.676655957512723e-13,1.6086520145228586e-08,0.16504596888260253,0.6255144032921811,-0.4604684344095786,14,18,True,down_in_case,20.894745001426024
TAL,down_in_CKD,CKB,1.5561404711347804,2.4631698573134004,-0.9070293861786201,-3.32506598412569,-9.421927655460575,2.500087968807334e-10,9.270326188337597e-07,0.7900459688826026,0.968724279835391,-0.1786783109527884,14,18,True,down_in_case,18.194834565232885
TAL,down_in_CKD,SLC25A33,0.15981935721225418,0.6076866628833115,-0.44786730567105737,-4.4602169337927515,-13.841826867628631,2.2425804042693293e-12,2.506818616736349e-08,0.14842644978783592,0.5163237311385459,-0.36789728135071,14,18,True,down_in_case,15.183400649957692
TAL,down_in_CKD,KLF9,0.18001909980081696,0.788812881588918,-0.6087937817881011,-3.797303545496487,-11.790359226683824,5.468206206069175e-11,4.0319581780456815e-07,0.15479137199434229,0.6340192043895747,-0.4792278323952324,14,18,True,down_in_case,14.782606837856044
TAL,down_in_CKD,GLRX,0.5713339289294738,1.1652088251436152,-0.5938748962141415,-3.3949536863109118,-9.815638173365278,7.087967881421131e-11,4.0319581780456815e-07,0.41654879773691655,0.7396433470507544,-0.32309454931383785,14,18,True,down_in_case,12.89241644164908
TAL,down_in_CKD,RHOBTB3,0.5845727097907527,1.1844009262698425,-0.5998282164790898,-3.2844764184718542,-9.63118325914953,1.188531874424907e-10,5.508845237959443e-07,0.4253005657708628,0.7300411522633745,-0.30474058649251173,14,18,True,down_in_case,12.330871961975705
TAL,down_in_CKD,USP53,0.25921105944409456,0.7359130833477658,-0.4767020239036713,-3.2170633524093923,-9.456253402817133,1.8746857862533812e-10,7.723705439363931e-07,0.24266265912305515,0.5967078189300411,-0.3540451598069859,14,18,True,down_in_case,9.373511994216674
TAL,down_in_CKD,TIPARP,0.04974508765292039,0.559561094923163,-0.5098160072702426,-3.489953887807375,-11.120876791418057,2.5035448155168926e-09,6.188762783957758e-06,0.04481966053748232,0.43978052126200273,-0.3949608607245204,14,18,True,down_in_case,9.266957397174831
TAL,down_in_CKD,MPC1,1.1054570601344105,1.765433404720111,-0.6599763445857005,-2.8481679042152823,-8.027735786431633,8.412500411184938e-09,1.5596775762336877e-05,0.6595650636492221,0.8866941015089164,-0.2271290378596943,14,18,True,down_in_case,9.035765119097247
TAL,down_in_CKD,TSC22D3,0.24480591717227293,0.7873832984646997,-0.5425773812924267,-2.983174266484153,-9.066051751390967,1.6838614717244957e-09,4.802891028580331e-06,0.2155233380480905,0.6060356652949246,-0.39051232724683405,14,18,True,down_in_case,8.608535001067906
TAL,down_in_CKD,CYSTM1,1.5456168353897024,2.1046922806339055,-0.559075445244203,-2.8630579622844547,-8.302629555527004,2.878363003190312e-09,6.670606259893548e-06,0.7599009900990099,0.9308641975308642,-0.17096320743185434,14,18,True,down_in_case,8.284779535714117
TAL,down_in_CKD,NR4A1,0.06610624939549863,1.2912022225573623,-1.2250959731618636,-2.1627096897359612,-6.8954001158259315,2.3670831276809646e-06,0.0008956269630041854,0.04322842998585573,0.6433470507544582,-0.6001186207686025,14,18,True,down_in_case,8.075421175955494
TAL,down_in_CKD,COX7C,2.1104671693011183,2.7204524500180787,-0.6099852807169603,-2.809861314737654,-7.868385583836951,1.4826234782578172e-08,2.2906532739083276e-05,0.8732319660537482,0.9711934156378601,-0.0979614495841119,14,18,True,down_in_case,7.952909219985718
TAL,down_in_CKD,DNAJC19,0.6311742379870029,1.1217084926666354,-0.4905342546796325,-2.94864982912611,-8.445632772375054,2.1682409432166395e-09,5.7427410124623565e-06,0.4771039603960396,0.7519890260631001,-0.27488506566706056,14,18,True,down_in_case,7.580481986978188
TAL,down_in_CKD,CHCHD10,1.565716302030129,2.088567051366438,-0.522850749336309,-2.981414007111446,-8.209301809660637,1.154076739973035e-08,1.8605724138347886e-05,0.789515558698727,0.9223593964334705,-0.1328438377347435,14,18,True,down_in_case,7.3738383378068395
TAL,down_in_CKD,SLC25A4,0.6246232358606597,1.1229788749646474,-0.4983556391039877,-2.7737860336953397,-7.997984534666681,6.397049029597901e-09,1.3953092824558246e-05,0.48894978783592646,0.757201646090535,-0.2682518582546085,14,18,True,down_in_case,6.711676931886932
TAL,down_in_CKD,CYCS,0.8854718534505893,1.3998690919886472,-0.5143972385380579,-2.726859801367208,-7.665029918288483,2.235714506726609e-08,2.9607247824793808e-05,0.5755834512022631,0.8348422496570644,-0.2592587984548014,14,18,True,down_in_case,6.352220843176022
TAL,down_in_CKD,GADD45A,0.2711610651269661,0.9012788729196269,-0.6301178077926608,-2.5504381511855714,-8.052860851901515,1.5302862452341922e-07,0.00012896139539382692,0.219501414427157,0.6274348422496571,-0.4079334278225001,14,18,True,down_in_case,6.250788761215108
TAL,down_in_CKD,EGR1,0.2606967109441061,1.317164161601353,-1.056467450657247,-1.9922647911738198,-6.215773727016386,3.524308881923779e-06,0.00114090027837662,0.1371110325318246,0.6831275720164609,-0.5460165394846364,14,18,True,down_in_case,6.193795908802711
TAL,down_in_CKD,UMOD,3.237668167644729,4.927495378601442,-1.6898272109567132,-1.7930563517440705,-4.6722631119123745,0.00017806925279899167,0.011354666171932197,0.8096711456859972,0.9720164609053498,-0.16234531521935258,14,18,True,down_in_case,5.892734945449375
TAL,down_in_CKD,SLC1A5,0.1836805406589927,0.5169379158232401,-0.3332573751642474,-3.0286980011499303,-8.885785175308536,7.220314357974703e-10,2.433902330851836e-06,0.1600954738330976,0.48449931412894376,-0.3244038402958461,14,18,True,down_in_case,5.666106024238927
TAL,down_in_CKD,PER1,0.06255222149805668,0.43166566256904126,-0.3691134410709846,-3.0650595806345238,-9.708819411246173,1.1354436646706977e-08,1.8605724138347886e-05,0.053836633663366336,0.4060356652949246,-0.35219903163155825,14,18,True,down_in_case,5.351707524666351
TAL,down_in_CKD,JUN,0.5264626399363725,1.5655007310951434,-1.0390380911587709,-1.8437937288924453,-5.614873033084487,7.191718956406458e-06,0.0017544009138391542,0.25433168316831684,0.7637860082304527,-0.509454325062136,14,18,True,down_in_case,5.279620564621192
TAL,down_in_CKD,TOB1,0.48214977159820077,1.1361245630832684,-0.6539747914850675,-2.3128288555682044,-7.267033724545293,5.19261696803497e-07,0.0003377933985521696,0.3587340876944837,0.7242798353909465,-0.3655457476964628,14,18,True,down_in_case,5.250525403337488
TAL,down_in_CKD,COX7B,1.6866233909846091,2.2421741871559027,-0.5555507961712935,-2.6441681619319413,-6.96510755373724,9.776469104042593e-07,0.0005301240871443313,0.795968882602546,0.9382716049382716,-0.1423027223357256,14,18,True,down_in_case,4.811790236179473
TAL,down_in_CKD,MTURN,0.7869349384977491,1.1759391725941422,-0.38900423409639306,-2.681616039279889,-7.601562913410403,2.2003959414874097e-08,2.9607247824793808e-05,0.5286421499292786,0.7703703703703704,-0.24172822044109177,14,18,True,down_in_case,4.724056392276115
TAL,down_in_CKD,COX6C,1.649688611945963,2.1507161422640184,-0.5010275303180554,-2.436034474607159,-6.804946203315907,2.334998565618674e-07,0.00018037863919404256,0.8028642149929278,0.9366255144032922,-0.1337612994103644,14,18,True,down_in_case,4.569402214265219
TAL,down_in_CKD,FABP3,0.3319097639048235,0.7400594949809053,-0.40814973107608177,-2.62688272520313,-7.346958785392713,5.6586784260540293e-08,6.768509549615595e-05,0.28562588401697314,0.5742112482853223,-0.2885853642683492,14,18,True,down_in_case,4.470384737758286
