gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
AL121944.1,0.05486181426827911,0.053400643114589044,0.0014611711536900648,0.03400699642012576,0.09891453433394565,0.9218430316740888,1.0,0.03968344993691937,0.050069284064665126,-0.010385834127745755,15,18,True,up_in_case,-0.0,0.010863728628421554,0.9727492128016091,0.03968344993691937,0.035553567934706654,0.01199911197737399,-0.0
AL162231.1,0.05971068573593223,0.05686376794223164,0.002846917793700589,0.06587878089559455,0.1951799944969667,0.8465754159983503,1.0,0.047195779332492256,0.05274826789838337,-0.005552488565891113,15,18,True,up_in_case,-0.0,0.010444262500231415,0.9783344498718795,0.047195779332492256,0.04094809514492551,0.009512653490796405,-0.0
ALDH8A1,0.09520976877445604,0.09001017658326262,0.005199592191193425,0.06780371123120707,0.1886405034043891,0.851880014523201,1.0,0.05530068432924265,0.07085450346420323,-0.015553819134960581,15,18,True,up_in_case,-0.0,0.01132769918261789,1.0,0.05530068432924265,0.059032339212343125,-0.0,-0.0
ALG12,0.058028890128676756,0.05641596860638915,0.0016129215222876053,0.09953396418965542,0.2709436488697043,0.7890781114983209,1.0,0.052509844401116335,0.06531177829099308,-0.012801933889876743,15,18,True,up_in_case,-0.0,-0.006182053267969077,0.9895331376452925,0.052509844401116335,0.05444838862956648,0.0,-0.0
ALG5,0.2598658885795268,0.2532233713750298,0.006642517204496989,0.10789200847318565,0.29470184802648486,0.7710270178781529,1.0,0.21873685820239325,0.26254041570438796,-0.04380355750199472,15,18,True,up_in_case,-0.0,-0.0006989832063873935,1.0,0.21873685820239325,0.21390837689018083,0.0,-0.0
AMN,0.2682470289265223,0.2593206901223227,0.00892633880419963,0.060356782766455785,0.17541562249129836,0.8618941717718516,1.0,0.16129525557212218,0.1776443418013857,-0.01634908622926351,15,18,True,up_in_case,-0.0,0.024450293176384447,1.0,0.16129525557212218,0.1452888727394695,-0.0,-0.0
ANK3,0.36478550722074476,0.3621853758499288,0.002600131370815939,0.03259635844189918,0.08815538304414959,0.9306383074421435,1.0,0.26704132736934666,0.3218475750577367,-0.05480624768839004,15,18,True,up_in_case,-0.0,0.08785342629792214,0.9725079514753338,0.26704132736934666,0.20792688039802107,0.012106839084267055,-0.0
ANKLE2,0.12720074023757902,0.12454545233437764,0.002655287903201381,0.07579146201317541,0.20878360965210863,0.8364296862775071,1.0,0.10454180525289597,0.13057736720554272,-0.026035561952646752,15,18,True,up_in_case,-0.0,-0.007413713433483515,1.0,0.10454180525289597,0.10450848310366996,0.0,-0.0
ANKRD36,0.07791685247673553,0.07347922874930417,0.004437623727431367,0.08926941833358272,0.2627445258590239,0.7945122748471809,1.0,0.059506059563405586,0.07990762124711316,-0.020401561683707575,15,18,True,up_in_case,-0.0,0.015587011030323263,0.9725079514753338,0.059506059563405586,0.0447494200184476,0.012106839084267055,-0.0
ANKRD39,0.058309757441245454,0.058278464414235155,3.129302701029846e-05,0.00228133749309726,0.006531735439479981,0.9948316461776427,1.0,0.05142026990862866,0.06785219399538106,-0.016431924086752397,15,18,True,up_in_case,-0.0,-0.01090131661447178,0.9725079514753338,0.05142026990862866,0.05525896525700869,0.0,-0.0
ANXA9,0.05644878979475857,0.055733400929760105,0.000715388864998466,0.02975267207843976,0.07991165486404375,0.93716118139032,1.0,0.046469396337500475,0.05889145496535797,-0.012422058627857495,15,18,True,up_in_case,-0.0,0.008313580009634045,1.0,0.046469396337500475,0.04139530983592811,-0.0,-0.0
AOC1,0.31417686111140253,0.3067784316346203,0.007398429476782209,0.05025595941103026,0.15028720601182816,0.8816018560548203,1.0,0.20831899682685323,0.22521939953810624,-0.01690040271125301,15,18,True,up_in_case,-0.0,0.13360017076764127,0.9725079514753338,0.20831899682685323,0.1320960393548928,0.012106839084267055,-0.0
