gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
CPLANE1,0.11998730652138598,0.1068164664932804,0.013170840028105577,0.1751405475552754,0.4758326321870909,0.6385399798324549,1.0,0.08913483962228085,0.07331525840623865,0.015819581216042197,15,12,True,up_in_case,-0.0
CPM,0.23232170155817308,0.24843275749189453,-0.016111055933721447,-0.2688138007832563,-0.6714050279678787,0.5097014169431331,1.0,0.16792827923691556,0.1895910780669145,-0.02166279882999894,15,12,True,down_in_case,-0.0
CPPED1,0.12546797617558822,0.12967726936280174,-0.004209293187213525,-0.1579148196188318,-0.40452619007918483,0.6895741183910892,1.0,0.10421684443934702,0.10551471615842581,-0.0012978717190787886,15,12,True,down_in_case,-0.0
CPSF1,0.07353099725755101,0.07786404571865013,-0.004333048461099123,-0.20463169959067345,-0.5360340349499992,0.5967262668438318,1.0,0.06302328248652368,0.07091147944209968,-0.007888196955575993,15,12,True,down_in_case,-0.0
CPSF2,0.10758626552537333,0.11657999429566772,-0.00899372877029439,-0.27508064892093415,-0.6892139037828615,0.49850906066071754,1.0,0.09014795274687463,0.09556418928361797,-0.005416236536743335,15,12,True,down_in_case,-0.0
CPSF3,0.06434706325766336,0.06339184981403508,0.0009552134436282833,0.07528864685446841,0.1962521068287307,0.8460349757389004,1.0,0.05646672018962419,0.055286916175196356,0.0011798040144278335,15,12,True,up_in_case,-0.0
CPSF7,0.12368422867335117,0.11851843514883749,0.005165793524513684,0.1974736296005232,0.5061576241882532,0.6175645595473029,1.0,0.1058989945330122,0.10137798026665176,0.0045210142663604375,15,12,True,up_in_case,-0.0
CPVL,0.49547569216589327,0.4413041941564581,0.05417149800943516,0.1991249868859573,0.5195491791749678,0.6080388195914658,1.0,0.3168750238941775,0.29552505799815526,0.021349965896022227,15,12,True,up_in_case,-0.0
CRACR2B,0.06281771752341302,0.07354090324297814,-0.010723185719565126,-0.24608395313889683,-0.6443002021173094,0.5253207625671681,1.0,0.05212753756164698,0.0574111859574587,-0.005283648395811719,15,12,True,down_in_case,-0.0
CRAT,0.09986793463358,0.10265328048517397,-0.0027853458515939705,-0.1057330137508449,-0.2724049439498295,0.7876887095341367,1.0,0.07894636235042245,0.08337758895379713,-0.00443122660337468,15,12,True,down_in_case,-0.0
CRB3,0.14247685340269456,0.14505627504066596,-0.0025794216379713963,-0.047991775064621066,-0.12238248309852785,0.9036860595569354,1.0,0.12864625148143902,0.12639405204460966,0.0022521994368293607,15,12,True,down_in_case,-0.0
