gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
MMAB,0.19018964762651025,0.2262493052766561,-0.03605965765014585,-0.9708317221112184,-2.711943882225479,0.011681881212629065,0.14056750133882032,0.16345528921512406,0.23265588914549654,-0.06920059993037248,15,18,True,down_in_case,0.02983072485034153,0.0018796676099465948,1.0,0.16345528921512406,0.15968359560611567,-0.0,0.02983072485034153
AARS,0.11812522488580365,0.14013085214307483,-0.022005627257271176,-1.126000546215936,-3.2693332375080644,0.00264259781818887,0.06253144147171731,0.10375807623198378,0.14609699769053117,-0.04233892145854738,15,18,True,down_in_case,0.029830692183203153,-0.007605030390173573,1.0,0.10375807623198378,0.10856136624088102,0.0,0.029830692183203153
ADNP2,0.06395051918288588,0.08534655681673542,-0.021396037633849535,-1.137657345976067,-3.3087728372068677,0.002381536856637025,0.05951433267044548,0.058320908361050576,0.0989838337182448,-0.04066292535719423,15,18,True,down_in_case,0.029827376794639694,-0.0012694226932325192,1.0,0.058320908361050576,0.05973111216703469,0.0,0.029827376794639694
RNF7,0.49133462793416166,0.5608361833439204,-0.06950155540975872,-0.765393337787546,-2.129374299787037,0.04313542823139677,0.27524723435212395,0.3461023817716099,0.4558429561200924,-0.1097405743484825,15,18,True,down_in_case,0.02980451260512134,-0.0702664951714082,0.9725079514753338,0.3461023817716099,0.352600832937362,0.0,0.02980451260512134
RPL35A,2.268294420499925,2.4135248817451926,-0.1452304612452675,-0.5903798090853463,-1.6330490995991676,0.11543281151614641,0.4495680449164923,0.8638796498069351,0.927066974595843,-0.06318732478890787,15,18,True,down_in_case,0.02976971250043996,-0.18170206548742218,0.9725079514753338,0.8638796498069351,0.8874416524582832,0.0,0.02976971250043996
RBMS1,0.24800778916302418,0.3032436040620248,-0.05523581489900059,-0.8125307998111064,-2.3242684882769864,0.02708373556984028,0.21718531897268115,0.19197537943953819,0.26729792147806003,-0.07532254203852184,15,18,True,down_in_case,0.02976357983539509,-0.01713361195806007,1.0,0.19197537943953819,0.20331497889705677,0.0,0.02976357983539509
CTDSPL,0.20279705138750884,0.24537204589916428,-0.042574994511655445,-0.8882440752638585,-2.5384270439531327,0.01659563114294675,0.16753770835297183,0.17035592766754598,0.2464203233256351,-0.07606439565808912,15,18,True,down_in_case,0.02934172453990995,0.023705197466782624,0.9725079514753338,0.17035592766754598,0.148642982921989,0.012106839084267055,0.029696960077369532
SMIM19,0.3299551713972734,0.3952814213274062,-0.06532624993013281,-0.7836552075510376,-2.1626567478552983,0.04089114227185502,0.268171835061971,0.2469893336391788,0.3622632794457275,-0.1152739458065487,15,18,True,down_in_case,0.029261391200633747,0.04822722415483166,0.9725079514753338,0.2469893336391788,0.21114123598960227,0.012106839084267055,0.02961565415528161
LRIF1,0.050094902606817725,0.06949479068732634,-0.01939988808050861,-1.1611731442375444,-3.5155583690194243,0.0016450414045168205,0.04868183701070093,0.04402263256489659,0.07579676674364896,-0.031774134178752377,15,18,True,down_in_case,0.02956919760354436,-0.0032099815292928047,1.0,0.04402263256489659,0.04290465941806188,0.0,0.02956919760354436
TMEM70,0.1482675674444018,0.17584446552717,-0.027576898082768198,-1.0209383429555943,-3.018181066061,0.0051390115289406966,0.08927869146984345,0.12606568031502083,0.18475750577367206,-0.05869182545865123,15,18,True,down_in_case,0.029540974009626908,-0.002729279482350855,1.0,0.12606568031502083,0.12700897224473823,0.0,0.029540974009626908
FDPS,0.3088177747585298,0.35894155744685236,-0.05012378268832257,-0.8602609339015354,-2.392511727351699,0.024495885289661713,0.2065907444883357,0.23779485414994075,0.3201847575057737,-0.08238990335583293,15,18,True,down_in_case,0.029532099230807168,-0.01861073279810771,0.9920295156674457,0.23779485414994075,0.2400704363138329,0.0,0.029532099230807168
SHFM1,0.1476402335771911,0.3461747767637956,-0.1985345431866045,-0.5023683898484151,-1.4865911277308852,0.1475647934747309,0.5101152813329056,0.14015368734946668,0.30803695150115473,-0.16788326415168806,15,18,True,down_in_case,0.029156423364871554,0.0998996707760064,0.9725079514753338,0.14015368734946668,0.06912262067808927,0.012106839084267055,0.02950941549082282
TCEAL4,0.4632295778128352,0.5245983947063124,-0.06136881689347723,-0.7693492899180887,-2.2268480808939817,0.03338571168963412,0.24128826594406166,0.3353022135566005,0.42933025404157044,-0.09402804048496993,15,18,True,down_in_case,0.029152970137028555,0.05391823648088495,0.9725079514753338,0.3353022135566005,0.28719568437823184,0.012106839084267055,0.029505920455306006
FAM151A,0.12523311362028972,0.24675404912225796,-0.12152093550196824,-0.599023628662818,-1.7597620205949467,0.08841781983346547,0.3978156828872296,0.0555682991168712,0.14623556581986144,-0.09066726670299025,15,18,True,down_in_case,0.029140720433314928,0.08560282807617278,0.9725079514753338,0.0555682991168712,0.019342035385862426,0.012106839084267055,0.029493522446400685
DNAJB2,0.19904423562957627,0.2316873396159467,-0.032643103986370436,-0.9767219856281129,-2.789451094947686,0.00912028802675696,0.12204268496288273,0.16190694651527315,0.23870669745958428,-0.07679975094431113,15,18,True,down_in_case,0.029124962568438974,0.016573340647329293,0.9725079514753338,0.16190694651527315,0.146323056712413,0.012106839084267055,0.029477573803590368
TOP1,0.341143201365253,0.3875861827119965,-0.04644298134674352,-0.8431878098675128,-2.4966563823512287,0.018276378449934683,0.17698827707588874,0.25677638872959435,0.33958429561200926,-0.0828079068824149,15,18,True,down_in_case,0.029450610433099232,0.009106194838730763,1.0,0.25677638872959435,0.25267630041646866,-0.0,0.029450610433099232
SLC25A44,0.04978297942653685,0.0655903937016039,-0.015807414275067044,-1.2450555439695936,-3.7472415249296205,0.0008571085127322489,0.033314028985442126,0.044462285430286345,0.07418013856812933,-0.029717853137842982,15,18,True,down_in_case,0.029076335585546478,0.00457480911634079,0.9725079514753338,0.044462285430286345,0.043687285127316434,0.012106839084267055,0.02942835810164084
VDR,0.054704553114668604,0.0811270350877401,-0.02642248197307149,-1.031639788685425,-3.0494310635717863,0.004747197155175271,0.08578268543562331,0.044213785984631264,0.08706697459584295,-0.042853188611211686,15,18,True,down_in_case,0.029073908609373738,0.016020682418411522,0.9725079514753338,0.044213785984631264,0.029180758587919613,0.012106839084267055,0.029425901742458113
KCNMB4,0.03902372790457973,0.060931110397844296,-0.021907382493264564,-1.100899340508654,-3.302449783858967,0.002642268029733974,0.06253144147171731,0.0329357342202852,0.0502540415704388,-0.0173183073501536,15,18,True,down_in_case,0.029035484657030788,0.006440905716891265,0.9725079514753338,0.0329357342202852,0.021270648740811134,0.012106839084267055,0.029387012597507166
RPP14,0.06736223190863665,0.09735198167528668,-0.02998974976665003,-0.9778489859227546,-2.9228562322245284,0.0067325177945847395,0.10259229900048508,0.06067209542378713,0.11709006928406467,-0.05641797386027753,15,18,True,down_in_case,0.02899950103806444,0.011217473022963845,0.9725079514753338,0.06067209542378713,0.049696732537663865,0.012106839084267055,0.029350593330656323
SHROOM4,0.048470032097996725,0.07189508317366052,-0.02342505107566379,-1.0972059605919828,-3.173025337476104,0.003405860548443268,0.07218194641980327,0.0365103031693237,0.06096997690531178,-0.024459673735988077,15,18,True,down_in_case,0.02934078903665074,0.0064244210634979565,1.0,0.0365103031693237,0.02892920032423065,-0.0,0.02934078903665074
VPS51,0.21095783965232626,0.243541061730878,-0.03258322207855174,-0.9827643604329397,-2.7955901072133824,0.009062361243851782,0.12148675159870718,0.1654432847803647,0.23963048498845266,-0.07418720020808794,15,18,True,down_in_case,0.029314875664974076,0.005696041995364998,1.0,0.1654432847803647,0.1619476199793163,-0.0,0.029314875664974076
PIGP,0.25506243074438756,0.2964664169914728,-0.041403986247085245,-0.8734632389730507,-2.5864468080362926,0.01481267881697952,0.15824089038709324,0.2138815613411324,0.29496535796766743,-0.08108379662653503,15,18,True,down_in_case,0.02895652641727243,0.03131083579787494,0.9725079514753338,0.2138815613411324,0.1810380971014898,0.012106839084267055,0.02930709842304568
SIPA1L2,0.0374856269017904,0.05636857885891386,-0.01888295195712346,-1.188216524329073,-3.4292844101598416,0.001743803418065704,0.04973863903221254,0.03157854494016898,0.05496535796766744,-0.02338681302749846,15,18,True,down_in_case,0.02924232534002241,-0.002437714021281512,1.0,0.03157854494016898,0.027922967269474804,0.0,0.02924232534002241
TCEB1,0.07894895402869608,0.21273410541418256,-0.13378515138548647,-0.5699729954790963,-1.7072354105874024,0.09882439919251179,0.41812057531473495,0.08758649692242994,0.22803695150115474,-0.1404504545787248,15,18,True,down_in_case,0.02887724344690651,0.05165658588535728,0.9725079514753338,0.08758649692242994,0.04444195991838332,0.012106839084267055,0.029226855586515412
TSG101,0.27082784747643085,0.3134083870631903,-0.04258053958675945,-0.8843074386360306,-2.5300177186259654,0.016898966391595997,0.16921784331633258,0.21839278204687082,0.3026789838337182,-0.0842862017868474,15,18,True,down_in_case,0.029052310583334344,0.008486394457447755,1.0,0.21839278204687082,0.20160997288760935,-0.0,0.029052310583334344
