gene,elasticnet_coefficient,abs_elasticnet_coefficient,selected_by_model,best_C,best_l1_ratio,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control
BAG3,0.0,0.0,False,0.3593813663804626,0.5,0.24756232032954356,0.021360932218518848,-0.10598544845492791,-1.3983731414451612,0.06392170355927668,0.1666974595842956
SOX4,0.0,0.0,False,0.3593813663804626,0.5,0.24743160142679765,0.08584852385642018,0.20802718917968233,1.1154985963446427,0.36028596551592307,0.266189376443418
BTG3,0.0,0.0,False,0.3593813663804626,0.5,0.2469307085254771,0.025912590253094534,-0.11910916192098062,-1.3067509403266815,0.15148908513973314,0.2660969976905312
PSMB4,0.0,0.0,False,0.3593813663804626,0.5,0.24692949049305435,0.02142634933793198,-0.10684957963604247,-1.3846191125144613,0.2835378674924494,0.4153348729792148
PLCXD2,0.0,0.0,False,0.3593813663804626,0.5,0.24684974579395094,0.011029146087331257,-0.0845147158069495,-1.4921341563206745,0.1732614596475131,0.2717321016166282
ANKS1A,0.0,0.0,False,0.3593813663804626,0.5,0.2461215404752522,0.001732927169846253,-0.0469768907398745,-1.8974240213422202,0.062029284703903356,0.10826789838337182
FXYD6,0.0,0.0,False,0.3593813663804626,0.5,0.24565474750080452,0.004277072513249611,-0.06083132982795156,-1.7047459560417693,0.043047750124249724,0.08272517321016166
GEM,0.0,0.0,False,0.3593813663804626,0.5,0.24563579303319852,0.0029186275912803134,-0.05348898689602688,-1.81167348341327,0.019325610735176052,0.08147806004618938
AHCYL1,0.0,0.0,False,0.3593813663804626,0.5,0.24497193321615798,0.014450499830571619,-0.08873542781076627,-1.5002851602402725,0.3078334671407271,0.4104849884526559
ATP6V1G1,0.0,0.0,False,0.3593813663804626,0.5,0.2443166540058203,0.0381708274438437,-0.14129840869051757,-1.2191506278859106,0.5745880643804717,0.7060508083140877
MAP3K6,0.0,0.0,False,0.3593813663804626,0.5,0.2421599405745092,0.0017261167522738138,-0.0465855442216219,-1.8814005745197546,0.026971747524563213,0.06378752886836028
RAB20,0.0,0.0,False,0.3593813663804626,0.5,0.24165520178069547,0.0008619969179712013,-0.03870628394998581,-2.03730407428719,0.03595595825209313,0.07436489607390301
PRKACB,0.0,0.0,False,0.3593813663804626,0.5,0.241382391297486,0.016930395055582012,0.079823865089556,1.7071537710830218,0.18480712619948772,0.16092378752886835
MED9,0.0,0.0,False,0.3593813663804626,0.5,0.24059949892481855,0.0013305339285312678,-0.04289566392979219,-1.950277281981462,0.04536070650303934,0.1066512702078522
IFRD1,0.0,0.0,False,0.3593813663804626,0.5,0.23995583012836275,0.013455240375723678,-0.086354338375134,-1.4850742384626352,0.07967274534541423,0.176905311778291
SERTAD3,0.0,0.0,False,0.3593813663804626,0.5,0.23851176293053417,0.008209471471076042,-0.07296602565798203,-1.5672577798322216,0.10090989027793708,0.19311778290993073
CHL1,0.0,0.0,False,0.3593813663804626,0.5,0.2376009645547133,0.02069067588402509,0.0890339016649294,1.5845013046102236,0.15227281416064534,0.12212471131639722
BOLA3,0.0,0.0,False,0.3593813663804626,0.5,0.23670511738723005,0.02212295363439024,-0.10650015798656104,-1.3428213222888612,0.26543563864357533,0.38387990762124713
MRPL47,0.0,0.0,False,0.3593813663804626,0.5,0.23591064930551905,0.007373933936552548,-0.06923471534959624,-1.5979941081615723,0.22064839239974002,0.32660508083140877
CDC42SE2,0.0,0.0,False,0.3593813663804626,0.5,0.2356162212035883,0.016346879937016258,0.08238428396470812,1.6008180132954448,0.23114271514317392,0.23598152424942262
CRK,0.0,0.0,False,0.3593813663804626,0.5,0.23507432462835728,0.004123589265557606,-0.05817683429005577,-1.6944036569232264,0.1288947509270941,0.22221709006928406
